Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Fragilaria crotonensis		strain: SAG 28.96	210448	ASM2292589v1	GCA_022925895.1	GenBank	Annotation submitted by University of Tennessee Knoxville	Contig	89148	61849504	2022-04-12	26158	PRJNA807324	SAMN25978007
Peronosclerospora sorghi		isolate: P6	230839	PsorP6_UCD_v1	GCA_026184515.1	GenBank	Annotation submitted by UC Davis Genome Center	Chromosome	42491	325250994	2022-11-15	19118	PRJNA845776	SAMN28842343
Phytophthora infestans	potato late blight agent	strain: 1306	4787	Pinf1306_UCR_1	GCA_026225685.1	GenBank	Annotation submitted by University of California	Chromosome	684039	246895792	2022-11-18	31037	PRJNA868814	SAMN30543006
Pythium insidiosum		strain: Pi050C3	114742	ASM2640137v1	GCA_026401375.1	GenBank	Annotation submitted by Kasetsart University	Scaffold	9659	43294389	2022-11-25	12249	PRJNA785345	SAMN23767486
Pythium insidiosum		strain: Pi057C3	114742	ASM2640139v1	GCA_026401395.1	GenBank	Annotation submitted by Kasetsart University	Scaffold	9145	42546069	2022-11-25	12146	PRJNA785345	SAMN23767487
Pelagophyceae sp. CCMP2097		strain: CCMP2097	483370	Pelago2097_1	GCA_026770575.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Scaffold	14243	85824453	2022-12-09	19688	PRJNA210205	SAMN09305521
Ochromonadaceae sp. CCMP2298		strain: CCMP2298	483371	Ochro2298_1	GCA_026770595.1	GenBank	Annotation submitted by Laval University	Scaffold	4898	61116754	2022-12-09	20172	PRJNA171379	SAMN00855325
Mayamaea pseudoterrestris		strain: NIES-4280	2872254	Mpse_1.0	GCA_027923505.1	GenBank	Annotation submitted by National Institute for Environmental Studies	Contig	1067527	30627229	2022-12-13	11071	PRJDB13502	SAMD00469796
Lagenidium giganteum		strain: ARSEF 373	4803	Lag_gig_ARSEF373_Annot	GCA_027925865.1	GenBank	Annotation submitted by Nova Southeastern University	Scaffold	42304	56091714	2023-01-20	13069	PRJNA256125	SAMN05544984
Phytophthora cinnamomi		strain: VT-H3	4785	Phytophthora_cinnamomi_reassembly_enz	GCA_029747605.1	GenBank	Annotation submitted by TU Dresden - IHI Zittau	Scaffold	8598	53155022	2023-04-14	19137	PRJNA896933	SAMN31572647
Chrysophaeum taylorii		strain: NIES-1699	2483200	CTAYLR_1.1	GCA_029834535.1	GenBank	Annotation submitted by NIDDK, NIH	Contig	157935	70683391	2023-04-19	10674	PRJNA892039	SAMN31355949
Plasmopara halstedii			4781	Plasmopara halstedii genome	GCA_900000015.1	GenBank	Annotation submitted by IPF	Scaffold	16233	75321785	2015-11-18	15469	PRJEB6932	SAMEA2781508
Pseudo-nitzschia multistriata		strain: B856	183589	ASM90066040v1	GCA_900660405.1	GenBank	Annotation submitted by Stazione Zoologica Anton Dohrn	Scaffold	30320	56765209	2019-02-12	11972	PRJEB9419	SAMEA5241064
Aphanomyces stellatus		isolate: CBS 568.67	120398	Aphanomyces_stellatus_CBS568.67	GCA_900708865.1	GenBank	Annotation submitted by LABORATOIRE DE RECHERCHE EN SCIENCES VEGETALES, UMR 5546 UNIVERSITY OF TOULOUSE III-CNRS	Scaffold	31791	62130275	2019-09-20	25573	PRJEB24018	SAMEA104444324
Ectocarpus sp. CCAP 1310/34		strain: Bft15b	867726	Esub_Assebmy2	GCA_902602495.3	GenBank	Annotation submitted by STATION BIOLOGIQUE DE ROSCOFF	Scaffold	11922	242356113	2020-03-23	25595	PRJEB25230	SAMEA104653772
Seminavis robusta		strain: D6	568900	Semro_V1	GCA_903772945.1	GenBank	Annotation submitted by Center for Plant Systems Biology, VIB-Ugent	Scaffold	48501	125572603	2022-10-20	36393	PRJEB36614	SAMEA6526417
Pelagomonas calceolata			35677	CNM_v1	GCA_918797485.1	GenBank	Annotation submitted by Genoscope CEA	Contig	5385517	32445274	2021-11-19	16525	PRJEB48576	SAMEA10271030
Peronospora belbahrii		isolate: pbs3	622444	pbs3_v1	GCA_920618645.1	GenBank	Annotation submitted by NIAB	Contig	402275	32894831	2023-04-08	9688	PRJEB48439	SAMEA10540021
Peronospora farinosa	downy mildew	isolate: pf1	134698	pf1_v1	GCA_920940705.1	GenBank	Annotation submitted by NIAB	Scaffold	106788	35053226	2023-04-08	9223	PRJEB48439	SAMEA10540023
Peronospora matthiolae		isolate: pm1	2874970	pm1_v1	GCA_921007115.1	GenBank	Annotation submitted by NIAB	Contig	291379	83192745	2023-04-08	10330	PRJEB48439	SAMEA10540017
Peronospora belbahrii		isolate: pbs1	622444	pbs1_v1	GCA_921012115.1	GenBank	Annotation submitted by NIAB	Contig	172141	29311053	2023-04-08	9189	PRJEB48439	SAMEA10540019
Peronospora effusa		isolate: pe1_R8	542832	Pe1	GCA_947641895.1	GenBank	Annotation submitted by NIAB	Contig	583062	53697582	2023-04-08	9917	PRJEB48439	SAMEA112151706
Peronospora farinosa	downy mildew	isolate: pf2	134698	Pf2	GCA_947646735.1	GenBank	Annotation submitted by NIAB	Contig	318826	48717171	2023-04-08	9548	PRJEB48439	SAMEA112151705
Hyaloperonospora brassicae		isolate: hp1	162125	Hp1	GCA_947650285.1	GenBank	Annotation submitted by NIAB	Scaffold	263828	102623141	2023-04-08	9538	PRJEB48439	SAMEA112151707
Peronospora destructor		isolate: pd1	86335	Pd1	GCA_947650345.1	GenBank	Annotation submitted by NIAB	Scaffold	32151	43514070	2023-04-08	12443	PRJEB48439	SAMEA112151708
Phytophthora infestans T30-4		strain: T30-4	403677	ASM14294v1	GCF_000142945.1	RefSeq	Annotation submitted by Broad Institute	Scaffold	44484	228543505	2009-06-17	19344	PRJNA17665	SAMN02953670
Thalassiosira pseudonana CCMP1335		strain: CCMP1335	296543	ASM14940v2	GCF_000149405.2	RefSeq	Annotation submitted by Diatom Consortium	Chromosome	1267198	32437365	2009-01-16	11771	PRJNA191	SAMN02744045
Phytophthora sojae		strain: P6497	67593	P.sojae V3.0	GCF_000149755.1	RefSeq	Annotation submitted by US DOE Joint Genome Institute, USA, Walnut Creek	Scaffold	385992	82597641	2011-10-03	28142	PRJNA17989	SAMN02953656
Phaeodactylum tricornutum CCAP 1055/1		strain: CCAP 1055/1	556484	ASM15095v2	GCF_000150955.2	RefSeq	Annotation submitted by Diatom Consortium	Chromosome	417209	27450724	2008-12-12	10398	PRJNA13152	SAMN02953727
Saprolegnia parasitica CBS 223.65		strain: CBS 223.65	695850	ASM15154v2	GCF_000151545.1	RefSeq	Annotation submitted by Broad Institute	Scaffold	34471	53093248	2014-05-29	20435	PRJNA36583	SAMN02981252
Blastocystis hominis		isolate: Singapore isolate B (sub-type 7)	12968	ASM15166v1	GCF_000151665.1	RefSeq	Annotation submitted by Genoscope - Institut de Genomique - CEA	Scaffold	296810	18817245	2010-07-06	6020	PRJEA45923	SAMEA2272370
Aureococcus anophagefferens		strain: CCMP1984	44056	v 1.0	GCF_000186865.1	RefSeq	Annotation submitted by DOE Joint Genome Institute	Scaffold	34096	56660572	2011-02-15	11522	PRJNA13500	SAMN02953754
Nannochloropsis gaditana CCMP526		strain: CCMP526	1093141	ASM24072v1	GCF_000240725.1	RefSeq	Annotation submitted by Colorado School of Mines	Scaffold	21340	33986952	2012-01-04	3558	PRJNA73791	SAMN02981382
Phytophthora parasitica INRA-310		strain: INRA-310	761204	PP_INRA-310_V2	GCF_000247585.1	RefSeq	Annotation submitted by Broad Institute	Scaffold	24397	82389172	2013-12-19	23240	PRJNA73155	SAMN02981373
Saprolegnia diclina VS20		strain: VS20	1156394	Sap_diclina_VS20_V1	GCF_000281045.1	RefSeq	Annotation submitted by Broad Institute	Scaffold	30015	62885792	2013-02-22	17448	PRJNA86859	SAMN02981407
Aphanomyces astaci		strain: APO3	112090	Apha_asta_APO3_V1	GCF_000520075.1	RefSeq	Annotation submitted by Broad Institute	Scaffold	36439	75844385	2014-01-14	19584	PRJNA187372	SAMN01906578
Aphanomyces invadans		strain: NJM9701	157072	Apha_inva_NJM9701_V1	GCF_000520115.1	RefSeq	Annotation submitted by Broad Institute	Scaffold	30531	71402472	2014-01-15	15416	PRJNA188082	SAMN01907307
Blastocystis sp. subtype 4		strain: WR1	944170	ASM74375v1	GCF_000743755.1	RefSeq	Annotation submitted by Clermont Universite, Universite Blaise Pascal, CNRS UMR 6023	Scaffold	29524	12919355	2014-09-29	5707	PRJNA257240	SAMN02949638
Plasmopara halstedii			4781	Plasmopara halstedii genome	GCF_900000015.1	RefSeq	Annotation submitted by IPF	Scaffold	16233	75321785	2015-11-18	15459	PRJEB6932	SAMEA2781508
