OGName	Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Strain	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Citation	Phylum	Class	Order	Family	Genus	species	Genus Trophic Mode	Genus Guild	PhyloName	Source	fungi_odb10_Complete	fungi_odb10_Single	fungi_odb10_Duplicated	fungi_odb10_Fragmented	fungi_odb10_Missing	fungi_odb10_n_markers	eukaryota_odb10_Complete	eukaryota_odb10_Single	eukaryota_odb10_Duplicated	eukaryota_odb10_Fragmented	eukaryota_odb10_Missing	eukaryota_odb10_n_markers
GCA_025399175.1.aa	GCA_025399175.1	Gervar1	Geranomyces variabilis	JEL 559	Annotation submitted by DOE Joint Genome Institute	23695997	Scaffold	9/23/22	JAHLKE01	180595	231969	Illumina	DOE Joint Genome Institute	PRJNA334359	SAMN05445907	9579	9406	3	"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Geranomyces	variabilis	Saprotroph	Undefined Saprotroph	Geranomyces variabilis JEL 559 (GCA_025399175.1)	ref	89.8	88.9	0.9	1.8	8.4	758	96.5	95.7	0.8	2.4	1.1	255
GCA_027600685.1.aa	GCA_027600685.1	ASM2760068v1	Geranomyces variabilis	JEL0566	Annotation submitted by DOE Joint Genome Institute	23613044	Scaffold	1/9/23	JADGJN01	207909	397283	Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619736	SAMN14512003	8980	8803		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Geranomyces	variabilis	Saprotroph	Undefined Saprotroph	Geranomyces variabilis JEL0566 (GCA_027600685.1)	ref	93.4	90.9	2.5	1.2	5.4	758	96.9	95.7	1.2	1.2	1.9	255
GCA_027601485.1.aa	GCA_027601485.1	ASM2760148v1	Geranomyces variabilis	JEL0567	Annotation submitted by DOE Joint Genome Institute	23750802	Scaffold	1/9/23	JADGJM01	246825	473289	Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619737	SAMN14511912	9201	9029		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Geranomyces	variabilis	Saprotroph	Undefined Saprotroph	Geranomyces variabilis JEL0567 (GCA_027601485.1)	ref	89.2	87.2	2	2.9	7.9	758	90.2	89	1.2	4.3	5.5	255
GCA_027602705.1.aa	GCA_027602705.1	ASM2760270v1	Geranomyces variabilis	JEL0379	Annotation submitted by DOE Joint Genome Institute	23394538	Scaffold	1/9/23	JADGJQ01	108379	225234	Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619734	SAMN14511805	8865	8699		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Geranomyces	variabilis	Saprotroph	Undefined Saprotroph	Geranomyces variabilis JEL0379 (GCA_027602705.1)	ref	94.2	92	2.2	0.7	5.1	758	96.5	95.7	0.8	1.6	1.9	255
GCA_027603065.1.aa	GCA_027603065.1	ASM2760306v1	Geranomyces variabilis	JEL0389	Annotation submitted by DOE Joint Genome Institute	24136728	Scaffold	1/9/23	JADGJP01	343703	475954	Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619735	SAMN14511785	9047	8866		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Geranomyces	variabilis	Saprotroph	Undefined Saprotroph	Geranomyces variabilis JEL0389 (GCA_027603065.1)	ref	91.5	88.5	3	1.6	6.9	758	95.3	93.3	2	2.4	2.3	255
GCA_025399215.1.aa	GCA_025399215.1	Glopol1	Globomyces pollinis-pini	Arg68	Annotation submitted by DOE Joint Genome Institute	21646612	Scaffold	9/23/22	JAHLKJ01	39298	50517	Illumina	DOE Joint Genome Institute	PRJNA331560	SAMN05444513	11680	11534		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Rhizophydiales	Globomycetaceae	Globomyces	pollinis-pini	NA	NA	Globomyces pollinis-pini Arg68 (GCA_025399215.1)	ref	88.5	66.9	21.6	0.9	10.6	758	96.1	75.3	20.8	1.6	2.3	255
GCA_027595885.1.aa	GCA_027595885.1	ASM2759588v1	Globomyces sp.	JEL0801	Annotation submitted by DOE Joint Genome Institute	16104292	Contig	1/9/23	JADGIX01	42882		Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619749	SAMN14534833	6786	6698		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Rhizophydiales	Globomycetaceae	Globomyces	sp.	NA	NA	Globomyces sp. JEL0801 (GCA_027595885.1)	ref	84.7	80.6	4.1	5	10.3	758	86.7	84.3	2.4	7.1	6.2	255
GCA_001574975.1.aa	GCA_001574975.1	Ganpr1	Gonapodya prolifera 	JEL478	Annotation submitted by DOE Joint Genome Institute	48794828	Scaffold	2/26/16	LSZK01	63757	347324	Illumina	DOE Joint Genome Institute	PRJNA207863	SAMN02746072	13912	13827	1	"Chang Y et al., 2015"	Monoblepharidomycota	Monoblepharidomycetes	Monoblepharidales	Gonapodyaceae	Gonapodya	prolifera	NA	NA	Gonapodya prolifera  JEL478 (GCA_001574975.1)	ref	83.7	80.9	2.8	3.3	13	758	91	89.8	1.2	3.5	5.5	255
GCA_027604505.1.aa	GCA_027604505.1	ASM2760450v1	Gonapodya sp. 	JEL0774	Annotation submitted by DOE Joint Genome Institute	35595249	Scaffold	1/9/23	JADIIX01	44421	71677	Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619740	SAMN14569673	10112	10034		"Amses KR et al., 2022"	Monoblepharidomycota	Monoblepharidomycetes	Monoblepharidales	Gonapodyaceae	Gonapodya	sp.	NA	NA	Gonapodya sp.  JEL0774 (GCA_027604505.1)	ref	72.6	64.6	8	6.9	20.5	758	79.7	77.3	2.4	10.2	10.1	255
GCA_025526955.1.aa	GCA_025526955.1	Gorhay1	Gorgonomyces haynaldii	MP57	Annotation submitted by DOE Joint Genome Institute	13983420	Contig	9/30/22	JAHLJY01	597596		PacBio	DOE Joint Genome Institute	PRJNA500838	SAMN10363223	7987	7898		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Rhizophydiales	Gorgonomycetaceae	Gorgonomyces	haynaldii	NA	NA	Gorgonomyces haynaldii MP57 (GCA_025526955.1)	ref	94.1	91.2	2.9	1.1	4.8	758	96.1	94.1	2	1.6	2.3	255
Hompol1.aa	Hompol1	Hompol1	Homolaphlyctis polyrhiza	JEL142	Downloaded from the JGI	"21,324,754"	Contig									"7,123"			"Joneson S et al., 2011"	Chytridiomycota	Chytridiomycetes	Rhizophydiales		Homolaphlyctis 	polyrhiza	NA	NA	Homolaphlyctis polyrhiza JEL142 (JGI)	ref	89.7	0.5	89.2	0.3	10	758	91.4	0.4	91	0.8	7.8	255
GCA_025558095.1.aa	GCA_025558095.1	Hyacur1	Hyaloraphidium curvatum	SAG235-1	Annotation submitted by DOE Joint Genome Institute	31926619	Scaffold	10/3/22	JAIVFI01	722379	722379	PacBio	DOE Joint Genome Institute	PRJNA460970	SAMN09070631	15219	15173	4	"Amses KR et al., 2022"	Monoblepharidomycota	Monoblepharidomycetes	Monoblepharidales		Hyaloraphidium 	curvatum	Saprotroph	Undefined Saprotroph	Hyaloraphidium curvatum SAG235-1 (GCA_025558095.1)	ref	83.1	81.8	1.3	3.2	13.7	758	90.2	88.6	1.6	4.3	5.5	255
GCA_027600665.1.aa	GCA_027600665.1	ASM2760066v1	Irineochytrium annulatum	JEL0729	Annotation submitted by University of Michigan	36839710	Scaffold	1/9/23	JADGJL01	18884	20474	Illumina NextSeq	University of Michigan	PRJNA629976	SAMN14815227	12083	11905		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiaceae	Irineochytrium 	annulatum	Pathotroph-Saprotroph	Algal Parasite-Fungal Parasite-Undefined Saprotroph	Irineochytrium annulatum JEL0729 (GCA_027600665.1)	ref	72.1	69.5	2.6	5.1	22.8	758	75.7	74.5	1.2	9.8	14.5	255
GCA_027604405.1.aa	GCA_027604405.1	ASM2760440v1	Kappamyces sp. 	JEL0680	Annotation submitted by DOE Joint Genome Institute	13243986	Scaffold	1/9/23	JADHYS01	6749	7589	Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619738	SAMN14534852	7535	7477		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Rhizophydiales	Kappamycetaceae	Kappamyces	sp.	Saprotroph	Undefined Saprotroph	Kappamyces sp.  JEL0680 (GCA_027604405.1)	ref	56.6	55.3	1.3	4.9	38.5	758	65.1	62.7	2.4	7.1	27.8	255
GCA_027604465.1.aa	GCA_027604465.1	ASM2760446v1	Kappamyces sp.	JEL0829	Annotation submitted by DOE Joint Genome Institute	11695702	Contig	1/9/23	JADIIW01	100276		Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619750	SAMN14534849	5566	5512		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Rhizophydiales	Kappamycetaceae	Kappamyces	sp.	Saprotroph	Undefined Saprotroph	Kappamyces sp. JEL0829 (GCA_027604465.1)	ref	57.4	56.6	0.8	12.3	30.3	758	63.9	63.5	0.4	12.9	23.2	255
GCA_027604685.1.aa	GCA_027604685.1	ASM2760468v1	Lobulomyces angularis	JEL0522	Annotation submitted by DOE Joint Genome Institute	24944094	Scaffold	1/9/23	JADHYX01	26617	46169	Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619739	SAMN14511786	9208	9112		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Lobulomycetales	Lobulomycetaceae	Lobulomyces	angularis	NA	NA	Lobulomyces angularis JEL0522 (GCA_027604685.1)	ref	86.8	83.9	2.9	1.7	11.5	758	92.2	91	1.2	3.1	4.7	255
SGCHY.aa	SGCHY	SGCHY	Lobulomycetales sp.	W_METABAT__21	"Annotation submitted by University of California, Riverside"		Contig					Illumina HiSeq							This study	Chytridiomycota	Chytridiomycetes	Lobulomycetales		Lobulomycetales	sp.	NA	NA	Lobulomycetales sp. W_METABAT__21 (This study)	study	57	56.6	0.4	6.2	36.8	758	65.9	65.9	0	7.8	26.3	255
GCA_002104975.1.aa	GCA_002104975.1	Neocallimastix sp. G1 v1.0	Neocallimastix californiae	G1	Annotation submitted by DOE Joint Genome Institute	193032486	Contig	4/20/17	MCOG01	443414		PacBio	DOE Joint Genome Institute	PRJNA262392	SAMN05428678	21039	20200	11	"Haitjema CH et al., 2017"	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Neocallimastix 	californiae	Saprotroph-Symbiotroph	Animal Endosymbiont-Plant Saprotroph	Neocallimastix californiae G1 (GCA_002104975.1)	ref	85.4	48.3	37.1	1.7	12.9	758	88.6	60.4	28.2	1.6	9.8	255
GCA_016946835.1.aa	GCA_016946835.1	ASM1694683v1	Neocallimastix sp. 	JGI-2020a	Annotation submitted by DOE Joint Genome Institute	200969634	Contig	2/24/21	JACVTC01	1031807		PacBio	DOE Joint Genome Institute	PRJNA658393	SAMN15902602	29690	27675	14	"Wilken SE et al., 2021"	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Neocallimastix 	sp.	Saprotroph-Symbiotroph	Animal Endosymbiont-Plant Saprotroph	Neocallimastix sp.  JGI-2020a (GCA_016946835.1)	ref	88.6	48	40.6	0.4	11	758	90.1	57.6	32.5	0.8	9.1	255
GCA_026955015.1.aa	GCA_026955015.1	ASM2695501v1	Nowakowskiella sp. 	JEL0078	Annotation submitted by University of Michigan	33052143	Scaffold	12/16/22	JADGKD01	2604	2655	Illumina NextSeq	University of Michigan	PRJNA629968	SAMN14815055	11666	11645		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Cladochytriales	Nowakowskiellaceae	Nowakowskiella	sp.	Pathotroph	Plant Pathogen	Nowakowskiella sp.  JEL0078 (GCA_026955015.1)	ref	41.4	39.6	1.8	7.8	50.8	758	49.8	46.7	3.1	9	41.2	255
GCA_027600645.1.aa	GCA_027600645.1	ASM2760064v1	Nowakowskiella sp.	JEL0407	Annotation submitted by University of Michigan	22616348	Contig	1/9/23	JADGJK01	52255		Illumina NextSeq	University of Michigan	PRJNA629972	SAMN14815129	8399	8328		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Cladochytriales	Nowakowskiellaceae	Nowakowskiella	sp.	Pathotroph	Plant Pathogen	Nowakowskiella sp. JEL0407 (GCA_027600645.1)	ref	68.7	66.5	2.2	8.3	23	758	76.1	74.1	2	10.6	13.3	255
GCA_025765595.1.aa	GCA_025765595.1	Obemuc1	Obelidium mucronatum	JEL802	Annotation submitted by DOE Joint Genome Institute	49458483	Contig	10/16/22	JAIVFH01	189008		PacBio	DOE Joint Genome Institute	PRJNA333499	SAMN05443010	15912	15460	12	"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Obelidium 	mucronatum	Pathotroph	Plant Pathogen	Obelidium mucronatum JEL802 (GCA_025765595.1)	ref	88.4	81.4	7	1.8	9.8	758	89.8	86.7	3.1	5.1	5.1	255
Olpbor1.aa	GCA_017911155.1	Olpbor1	Olpidium bornovanus	S191	Annotation submitted by DOE Joint Genome Institute	28244625	Contig	4/8/21	JAEFCI01	2257		Illumina	DOE Joint Genome Institute	PRJNA346684	SAMN05920846	8529	8460	2	"Chang,Y et al 2021"	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	Olpidium 	bornovanus	Pathotroph	Plant Pathogen	Olpidium bornovanus S191 (GCA_017911155.1)	ref	83.7	80.9	2.8	4.7	11.6	758	90.2	87.1	3.1	6.3	3.5	255
Orpsp1_1.aa	Orpsp1	Orpsp1_1	Orpinomyces sp.		Downloaded from the JGI	"100,954,185"	Contig									"18,936"			"Youssef NH et al., 2013"	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Orpinomyces	sp.	Symbiotroph	Animal Endosymbiont	Orpinomyces sp. (JGI)	ref	39.3	36.3	3	16	44.7	758	43.6	42	1.6	21.2	35.2	255
GCA_025602915.1.aa	GCA_025602915.1	Parsed1	Paraphysoderma sedebokerense	JEL821	Annotation submitted by DOE Joint Genome Institute	27876074	Contig	10/5/22	JAHLJZ01	239846		Illumina	DOE Joint Genome Institute	PRJNA347199	SAMN05892242	11062	10850	1	"Amses KR et al., 2022"	Blastocladiomycota	Physodermatomycetes	Physodermatales	Physodermataceae	Paraphysoderma 	sedebokerense	Pathotroph	Plant Pathogen	Paraphysoderma sedebokerense JEL821 (GCA_025602915.1)	ref	85.3	78.6	6.7	3	11.7	758	89.8	85.5	4.3	4.3	5.9	255
Pecora1.aa	Pecora1	Pecora1	Pecoramyces sp. 	F1	Downloaded from the JGI	"106,834,627"	Contig									"17,740"			"Li Y et al., 2019"	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Pecoramyces	sp.	Saprotroph-Symbiotroph	Animal Endosymbiont-Plant Saprotroph	Pecoramyces sp.  F1 (JGI)	ref	74.3	71.8	2.5	5.8	19.9	758	72.6	71.4	1.2	8.2	19.2	255
GCA_025602905.1.aa	GCA_025602905.1	Triarc1	Triparticalcar arcticum	BR59	Annotation submitted by DOE Joint Genome Institute	31548172	Contig	10/4/22	JAHLKI01	855893		PacBio	DOE Joint Genome Institute	PRJNA463939	SAMN09075414	11177	10962	4	"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiaceae	Phlyctochytrium 	arcticum	Pathotroph	Plant Pathogen	Triparticalcar arcticum BR59 (GCA_025602905.1)	ref	86.6	80.7	5.9	4.2	9.2	758	89	85.5	3.5	7.5	3.5	255
GCA_027597005.1.aa	GCA_027597005.1	ASM2759700v1	Phlyctochytrium bullatum	JEL0754	Annotation submitted by DOE Joint Genome Institute	40192336	Scaffold	1/9/23	JADGJI01	24397	33519	Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619743	SAMN14511965	11159	11036		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiaceae	Phlyctochytrium 	bullatum	Pathotroph	Plant Pathogen	Phlyctochytrium bullatum JEL0754 (GCA_027597005.1)	ref	66.2	62.4	3.8	4	29.8	758	68.2	64.7	3.5	9.8	22	255
GCA_027600675.1.aa	GCA_027600675.1	ASM2760067v1	Phlyctochytrium planicorne	JEL0388	Annotation submitted by DOE Joint Genome Institute	30010325	Contig	1/9/23	JADGJJ01	79884		Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619744	SAMN14511787	10461	10408		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiaceae	Phlyctochytrium 	planicorne	Pathotroph	Plant Pathogen	Phlyctochytrium planicorne JEL0388 (GCA_027600675.1)	ref	93.7	91.3	2.4	0.7	5.6	758	95.7	94.9	0.8	1.6	2.7	255
GCA_027596945.1.aa	GCA_027596945.1	ASM2759694v1	Physocladia obscura	JEL0513	Annotation submitted by University of Michigan	44089900	Scaffold	1/9/23	JADGJH01	9426	11689	Illumina NextSeq	University of Michigan	PRJNA629974	SAMN14815131	12959	12792		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Physocladia 	obscura	Pathotroph	Plant Pathogen	Physocladia obscura JEL0513 (GCA_027596945.1)	ref	49.8	48.7	1.1	13.1	37.1	758	48.6	47.8	0.8	14.1	37.3	255
GCA_002104945.1.aa	GCA_002104945.1	Piromyces sp. finnis v3.0	Piromyces finnis	finn	Annotation submitted by DOE Joint Genome Institute	56455805	Contig	4/20/17	MCFH01	749539		PacBio	DOE Joint Genome Institute	PRJNA330696	SAMN05421903	11314	10959		"Haitjema CH et al., 2017"	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Piromyces 	finnis	Symbiotroph	Animal Endosymbiont	Piromyces finnis finn (GCA_002104945.1)	ref	86.5	83.5	3	1.1	12.4	758	88.7	87.5	1.2	0.8	10.5	255
GCA_002157105.1.aa	GCA_002157105.1	PirspE2 v1.0	Piromyces sp. 	E2	Annotation submitted by JGI	71019055	Scaffold	5/24/17	MCNC01	2723	144455	Sanger dideoxy sequencing; Illumina	JGI	PRJNA82799	SAMN00788684	14612	14612		"Haitjema CH et al., 2017"	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Piromyces 	sp.	Symbiotroph	Animal Endosymbiont	Piromyces sp.  E2 (GCA_002157105.1)	ref	47.3	46.4	0.9	15.3	37.4	758	44.7	44.3	0.4	22.4	32.9	255
GCA_027596195.1.aa	GCA_027596195.1	ASM2759619v1	Podochytrium sp. 	JEL0797	Annotation submitted by DOE Joint Genome Institute	32060568	Contig	1/9/23	JADGJG01	20738		Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619745	SAMN14534840	12365	12043		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Podochytrium	sp.	Pathotroph	Plant Pathogen	Podochytrium sp.  JEL0797 (GCA_027596195.1)	ref	68.4	67.5	0.9	12	19.6	758	66.3	65.1	1.2	17.6	16.1	255
GCA_025602895.1.aa	GCA_025602895.1	Polagg1_1	Polychytrium aggregatum	JEL109	Annotation submitted by DOE Joint Genome Institute	64917104	Contig	10/5/22	JAHLKK01	389128		PacBio	DOE Joint Genome Institute	PRJNA346301	SAMN05920836	11068	10686	2	"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Polychytriales		Polychytrium 	aggregatum	Pathotroph	Plant Pathogen	Polychytrium aggregatum JEL109 (GCA_025602895.1)	ref	92.4	89.8	2.6	1.5	6.1	758	96.5	94.1	2.4	1.6	1.9	255
GCA_027604665.1.aa	GCA_027604665.1	ASM2760466v1	Polyrhizophydium stewartii	JEL0888	Annotation submitted by University of Michigan	23303880	Scaffold	1/9/23	JADGIZ01	11431	11660	Illumina NextSeq	University of Michigan	PRJNA629982	SAMN14816300	8407	8331		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Rhizophydiales		Polyrhizophydium 	stewartii	NA	NA	Polyrhizophydium stewartii JEL0888 (GCA_027604665.1)	ref	85.1	83.1	2	3.3	11.6	758	91.4	90.6	0.8	3.1	5.5	255
GCA_006536005.1.aa	GCA_006536005.1	ASM653600v1	Powellomyces hirtus	CBS 809.83	Annotation submitted by Agriculture and Agri-Food Canada	26238698	Scaffold	7/1/19	QEAQ01	99497	157542	Illumina	Agriculture and Agri-Food Canada	PRJNA453744	SAMN08987381	6536	6536		van de Vossenberg et al 2019	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Powellomyces 	hirtus	Pathotroph	Plant Pathogen	Powellomyces hirtus CBS 809.83 (GCA_006536005.1)	ref	93.7	91.7	2	0.5	5.8	758	94.5	94.1	0.4	2.4	3.1	255
GCA_025526995.1.aa	GCA_025526995.1	Powhir1	Powellomyces hirtus	BR81	Annotation submitted by DOE Joint Genome Institute	29428253	Contig	9/30/22	JAHLKG01	1016081		PacBio	DOE Joint Genome Institute	PRJNA460973	SAMN09070657	9631	9359	1	"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Powellomyces 	hirtus	Pathotroph	Plant Pathogen	Powellomyces hirtus BR81 (GCA_025526995.1)	ref	90	86.4	3.6	1.8	8.2	758	93.8	91.4	2.4	2	4.2	255
GCF_004355905.1.aa	GCF_004355905.1	PgNI	Pyricularia grisea	NI907	Annotation submitted by Academia Sinica	44557582	Chromosome	3/19/19	RRCK01	298533	5912490	Illumina HiSeq	Academia Sinica	PRJNA507314	SAMN10496230	12441	12441		"Gomez Luciano,L.B et al 2017"	Ascomycota	Sordariomycetes	Magnaporthales	Pyriculariaceae	Pyricularia 	grisea	Pathotroph	Plant Pathogen	Pyricularia grisea NI907 (GCF_004355905.1)	ref	64	63.1	0.9	12.3	23.7	758	71.4	70.6	0.8	13.3	15.3	255
GCA_027596845.1.aa	GCA_027596845.1	ASM2759684v1	Quaeritorhiza haematococci	JEL0916	Annotation submitted by University of Michigan	48216127	Scaffold	1/9/23	JADGJF01	11502	11770	Illumina NextSeq	University of Michigan	PRJNA629978	SAMN14816274	14220	13723		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiomycetes	Quaeritorhizaceae	Quaeritorhiza 	haematococci	NA	NA	Quaeritorhiza haematococci JEL0916 (GCA_027596845.1)	ref	69.2	62.1	7.1	9	21.8	758	79.2	74.1	5.1	10.6	10.2	255
GCA_002104985.1.aa	GCA_002104985.1	Rhihy1	Rhizoclosmatium globosum	JEL800	Annotation submitted by DOE Joint Genome Institute	57018351	Contig	4/20/17	MCGO01	292246		PacBio	DOE Joint Genome Institute	PRJNA330693	SAMN05421919	17656	16987	23	"Mondo SJ et al., 2017"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Rhizoclosmatium 	globosum	Pathotroph	Plant Pathogen	Rhizoclosmatium globosum JEL800 (GCA_002104985.1)	ref	82.2	76	6.2	4.9	12.9	758	90.6	83.9	6.7	5.1	4.3	255
GCA_027596175.1.aa	GCA_027596175.1	ASM2759617v1	Rhizoclosmatium hyalinum	JEL0917	Annotation submitted by DOE Joint Genome Institute	23450088	Scaffold	1/9/23	JADGJE01	2336	2546	Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619746	SAMN14534842	11010	10776		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Rhizoclosmatium 	hyalinum	Pathotroph	Plant Pathogen	Rhizoclosmatium hyalinum JEL0917 (GCA_027596175.1)	ref	76.6	69.5	7.1	4.9	18.5	758	84	76.5	7.5	5.1	10.9	255
GCA_027604365.1.aa	GCA_027604365.1	ASM2760436v1	Rhizoclosmatium sp. 	JEL0117	Annotation submitted by DOE Joint Genome Institute	30544921	Contig	1/9/23	JADIIV01	40205		Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619726	SAMN14512103	12077	11857		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Rhizoclosmatium 	sp.	Pathotroph	Plant Pathogen	Rhizoclosmatium sp.  JEL0117 (GCA_027604365.1)	ref	41.1	40.8	0.3	17.9	41	758	47.5	47.5	0	25.5	27	255
GCA_027596075.1.aa	GCA_027596075.1	ASM2759607v1	Rhizophlyctis rosea	JEL0764	Annotation submitted by DOE Joint Genome Institute	48149512	Scaffold	1/9/23	JADGJC01	51757	104982	Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619747	SAMN14511978	12847	12571		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Rhizophlyctidales	Rhizophlyctidaceae	Rhizophlyctis 	rosea	Saprotroph	Undefined Saprotroph	Rhizophlyctis rosea JEL0764 (GCA_027596075.1)	ref	76	75.2	0.8	7.9	16.1	758	80.8	80.8	0	8.2	11	255
GCA_027596135.1.aa	GCA_027596135.1	ASM2759613v1	Rhizophlyctis rosea	JEL0318	Annotation submitted by University of Michigan	38859322	Scaffold	1/9/23	JADGJD01	21335	21549	Illumina NextSeq	University of Michigan	PRJNA629969	SAMN14815128	11709	11459		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Rhizophlyctidales	Rhizophlyctidaceae	Rhizophlyctis 	rosea	Saprotroph	Undefined Saprotroph	Rhizophlyctis rosea JEL0318 (GCA_027596135.1)	ref	34.3	33.5	0.8	20.6	45.1	758	36.1	35.7	0.4	22	41.9	255
GCA_027596065.1.aa	GCA_027596065.1	ASM2759606v1	Siphonaria sp. 	JEL0065	Annotation submitted by DOE Joint Genome Institute	37595823	Contig	1/9/23	JADGJB01	21877		Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619581	SAMN14515488	12956	12648		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Siphonaria	sp.	Pathotroph	Plant Pathogen	Siphonaria sp.  JEL0065 (GCA_027596065.1)	ref	78.1	77	1.1	5.7	16.2	758	75.3	74.9	0.4	9.4	15.3	255
GCA_000182565.2.aa	GCA_000182565.2	S_punctatus_V1	Spizellomyces punctatus 	DAOM BR117	Annotation submitted by Broad Institute	24131112	Scaffold	7/29/15	ACOE01	155888	1465700	Sanger	Broad Institute	PRJNA37881	SAMN00716787	9169	8950	5	"Russ C et al., 2016"	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces 	punctatus	Pathotroph-Saprotroph	Plant Pathogen-Undefined Parasite-Undefined Saprotroph	Spizellomyces punctatus  DAOM BR117 (GCA_000182565.2)	ref	95.7	92	3.7	0.9	3.4	758	94.9	93.3	1.6	2.7	2.4	255
GCA_006535965.1.aa	GCA_006535965.1	ASM653596v1	Spizellomyces palustris	CBS 455.65	Annotation submitted by Agriculture and Agri-Food Canada	22937368	Scaffold	7/1/19	QEAR01	173429	219277	Illumina	Agriculture and Agri-Food Canada	PRJNA453746	SAMN08987487	8518	8518		van de Vossenberg et al 2019	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces 	sp.	Pathotroph-Saprotroph	Plant Pathogen-Undefined Parasite-Undefined Saprotroph	Spizellomyces palustris CBS 455.65 (GCA_006535965.1)	ref	94.6	93.4	1.2	1.6	3.8	758	94.9	94.5	0.4	3.9	1.2	255
