Identifier    	Cytoplasmic effector	Apoplastic effector 	Non-effector        	Prediction          
SGCHY_005299-T1 	-                   	-                   	Y (0.523)           	Non-effector
SGCHY_005313-T1 	-                   	-                   	Y (0.578)           	Non-effector
SGCHY_005334-T1 	-                   	-                   	Y (0.945)           	Non-effector
SGCHY_005336-T1 	Y (0.952)           	-                   	-                   	Cytoplasmic effector
SGCHY_005391-T1 	-                   	-                   	Y (0.666)           	Non-effector
SGCHY_005400-T1 	-                   	-                   	Y (0.947)           	Non-effector
SGCHY_005421-T1 	-                   	-                   	Y (0.561)           	Non-effector
SGCHY_005423-T1 	-                   	-                   	Y (0.873)           	Non-effector
SGCHY_005430-T1 	-                   	-                   	Y (0.597)           	Non-effector
SGCHY_005435-T1 	-                   	-                   	Y (0.833)           	Non-effector
SGCHY_005452-T1 	Y (0.805)           	-                   	-                   	Cytoplasmic effector
SGCHY_005470-T1 	Y (0.863)           	-                   	-                   	Cytoplasmic effector
SGCHY_005481-T1 	-                   	-                   	Y (0.971)           	Non-effector
SGCHY_005484-T1 	Y (0.825)           	-                   	-                   	Cytoplasmic effector
SGCHY_005516-T1 	Y (0.917)           	-                   	-                   	Cytoplasmic effector
SGCHY_005545-T1 	-                   	-                   	Y (0.75)           	Non-effector
SGCHY_005552-T1 	Y (0.653)           	-                   	-                   	Cytoplasmic effector
SGCHY_005554-T1 	-                   	-                   	Y (0.645)           	Non-effector
SGCHY_005561-T1 	-                   	-                   	Y (0.669)           	Non-effector
SGCHY_005569-T1 	Y (0.767)           	Y (0.758)           	-                   	Cytoplasmic/apoplastic effector
SGCHY_005580-T1 	-                   	-                   	Y (0.512)           	Non-effector
SGCHY_005584-T1 	-                   	-                   	Y (0.863)           	Non-effector
SGCHY_005585-T1 	Y (0.73)           	-                   	-                   	Cytoplasmic effector
SGCHY_005621-T1 	-                   	-                   	Y (0.635)           	Non-effector
SGCHY_005645-T1 	-                   	Y (0.629)           	-                   	Apoplastic effector
SGCHY_005647-T1 	-                   	-                   	Y (0.813)           	Non-effector
