"sel","_id","gc","length","METABAT__22-contigs.CE_108A_S70_R1_filtered.remap_cov","bestsumorder_superkingdom","bestsumorder_phylum","id"
"","1789","0.5635","6784","1.5862","Eukaryota","Haptophyta","c_000003107906"
"","1790","0.5353","3142","1.1337","no-hit","no-hit","c_000003310828"
"","1791","0.5214","8132","2.4177","Eukaryota","Haptophyta","c_000003518742"
"","1792","0.5266","4673","1.7137","Eukaryota","Haptophyta","c_000004563745"
"","1793","0.5073","6828","2.6592","no-hit","no-hit","c_000000974662"
"","1794","0.5172","9643","1.7569","no-hit","no-hit","c_000002156959"
"","1795","0.5481","4663","4.691","no-hit","no-hit","c_000003436206"
"","1796","0.4939","5286","3.618","Eukaryota","Haptophyta","c_000002030850"
"","1797","0.5247","3038","1.2656","no-hit","no-hit","c_000003719909"
"","1798","0.574","5242","0.6461","no-hit","no-hit","c_000003817729"
"","1799","0.5411","4169","1.0216","Eukaryota","Bacillariophyta","c_000003711539"
"","1800","0.5266","8750","2.8265","no-hit","no-hit","c_000000113074"
"","1801","0.5229","3056","1.0776","no-hit","no-hit","c_000000369492"
"","1802","0.5534","2604","2.9366","no-hit","no-hit","c_000004977082"
"","1803","0.6465","2730","66.3923","no-hit","no-hit","c_000005480873"
"","1804","0.5666","6659","1.4217","Eukaryota","Haptophyta","c_000004056548"
"","1805","0.4805","5153","3.8321","no-hit","no-hit","c_000000426151"
"","1806","0.5923","3991","1.3909","Eukaryota","Haptophyta","c_000005176369"
"","1807","0.5757","4278","2.1512","no-hit","no-hit","c_000000675372"
"","1808","0.5202","4152","3.0226","Eukaryota","Haptophyta","c_000001174616"
"","1809","0.5872","4152","1.3439","Eukaryota","Haptophyta","c_000004300210"
"","1810","0.4678","9502","2.5244","Eukaryota","Haptophyta","c_000001274023"
"","1811","0.5376","13221","1.2405","Eukaryota","Haptophyta","c_000000534835"
"","1812","0.512","3154","3.1389","no-hit","no-hit","c_000000191117"
"","1813","0.4954","4505","1.2602","Eukaryota","Haptophyta","c_000000309628"
"","1814","0.5425","6243","1.7825","Eukaryota","Haptophyta","c_000000913631"
"","1815","0.5664","2793","1.1736","no-hit","no-hit","c_000001463567"
"","1816","0.5197","4605","2.0102","no-hit","no-hit","c_000005140763"
"","1817","0.5186","15902","1.6427","Eukaryota","Haptophyta","c_000001321963"
"","1818","0.491","4853","5.3398","no-hit","no-hit","c_000000989645"
"","1819","0.5204","3924","4.1045","no-hit","no-hit","c_000000283025"
"","1821","0.5816","3858","1.6519","no-hit","no-hit","c_000005351058"
"","1822","0.5228","15012","15.6444","Eukaryota","Haptophyta","c_000000805604"
"","1823","0.5446","7275","1.0766","Eukaryota","Haptophyta","c_000000833081"
"","1825","0.4979","3850","9.5491","no-hit","no-hit","c_000004074041"
"","1826","0.5692","3417","4.4659","Eukaryota","Haptophyta","c_000002489062"
"","1827","0.5612","5574","3.7078","Eukaryota","Oomycota","c_000000802615"
"","1828","0.5617","4191","1.0997","no-hit","no-hit","c_000003833506"
"","1829","0.5724","3368","1.7444","no-hit","no-hit","c_000003258941"
"","1830","0.6216","2759","5.5545","Eukaryota","Haptophyta","c_000004860699"
"","1831","0.5447","3947","2.2219","Eukaryota","Haptophyta","c_000000898116"
"","1832","0.4933","3278","3.4597","no-hit","no-hit","c_000002674872"
"","1833","0.5498","10216","1.6248","no-hit","no-hit","c_000001013485"
"","1834","0.5339","6449","1.6277","no-hit","no-hit","c_000001007296"
"","1835","0.4532","5856","32.3455","no-hit","no-hit","c_000002191103"
"","1836","0.4664","2854","2.7533","no-hit","no-hit","c_000003655525"
"","1837","0.585","4393","7.9317","Eukaryota","Haptophyta","c_000000648651"
"","1838","0.5385","16162","1.8618","Eukaryota","Haptophyta","c_000000526250"
"","1839","0.52","4215","1.1314","Eukaryota","Haptophyta","c_000001368976"
"","1840","0.5598","5983","5.9911","no-hit","no-hit","c_000001878209"
"","1841","0.525","5903","1.8921","no-hit","no-hit","c_000002129330"
"","1842","0.5253","4432","10.2701","no-hit","no-hit","c_000002413157"
"","1843","0.5433","6866","2.8179","no-hit","no-hit","c_000003230933"
"","1844","0.5235","6619","10.1907","Eukaryota","Haptophyta","c_000000773573"
"","1845","0.5118","6190","1.637","Eukaryota","Haptophyta","c_000002209728"
"","1846","0.5604","6644","7.0629","Eukaryota","Nematoda","c_000003842768"
"","1847","0.5294","7983","2.1241","no-hit","no-hit","c_000001075064"
"","1848","0.5104","6779","2.4021","no-hit","no-hit","c_000000317346"
"","1849","0.5481","5455","1.8189","Eukaryota","Haptophyta","c_000001805469"
"","1850","0.544","13810","2.487","no-hit","no-hit","c_000003654909"
"","1851","0.5118","7013","3.8764","Eukaryota","Haptophyta","c_000003916979"
"","1852","0.5102","4426","1.7759","no-hit","no-hit","c_000004301024"
"","1853","0.5605","4610","1.2249","Eukaryota","Haptophyta","c_000002009466"
"","1854","0.5567","6070","4.5278","Eukaryota","Haptophyta","c_000002660986"
"","1855","0.5655","3098","1.4003","Eukaryota","Eukaryota-undef","c_000002938635"
"","1856","0.5437","5623","4.8193","no-hit","no-hit","c_000000632520"
"","1857","0.5392","9984","1.7604","no-hit","no-hit","c_000001980393"
"","1858","0.5752","2992","1.734","no-hit","no-hit","c_000002695838"
"","1859","0.5402","2845","1.342","no-hit","no-hit","c_000001950865"
"","1860","0.5754","15597","1.5564","Eukaryota","Haptophyta","c_000002256686"
"","1861","0.5074","10580","1.5241","Eukaryota","Haptophyta","c_000001354080"
"","1862","0.5356","9029","1.6727","Eukaryota","Haptophyta","c_000001384542"
"","1863","0.5384","3897","1.1401","no-hit","no-hit","c_000001522387"
"","1864","0.6141","4338","0.9352","no-hit","no-hit","c_000000098996"
"","1865","0.5288","5609","0.7276","no-hit","no-hit","c_000000246491"
"","1866","0.503","7362","1.5989","Eukaryota","Haptophyta","c_000000760775"
"","1867","0.5584","10531","2.2361","no-hit","no-hit","c_000000142207"
"","1868","0.4888","3380","1.3734","no-hit","no-hit","c_000003027501"
"","1869","0.5534","4319","21.2341","Eukaryota","Haptophyta","c_000001074852"
"","1870","0.568","10018","1.8802","Eukaryota","Haptophyta","c_000002687937"
"","1871","0.5645","2944","2.7643","no-hit","no-hit","c_000000909851"
"","1872","0.5298","6221","5.2956","Eukaryota","Haptophyta","c_000004017686"
"","1873","0.5315","4905","1.9706","Eukaryota","Bacillariophyta","c_000002831831"
"","1874","0.5165","3241","1.5813","no-hit","no-hit","c_000004203621"
"","1875","0.5908","6539","1.4695","Eukaryota","Eukaryota-undef","c_000004611964"
"","1876","0.5032","3092","1.1669","no-hit","no-hit","c_000001366090"
"","1877","0.541","4688","2.7208","Eukaryota","Haptophyta","c_000001393577"
"","1878","0.516","10583","2.0765","Eukaryota","Haptophyta","c_000000128636"
"","1879","0.5117","10919","2.3102","Eukaryota","Haptophyta","c_000004835649"
"","1880","0.4832","6475","5.3782","no-hit","no-hit","c_000003641614"
"","1881","0.5078","3354","2.2463","Eukaryota","Haptophyta","c_000004233358"
"","1882","0.5196","4944","1.6988","no-hit","no-hit","c_000001542335"
"","1883","0.4946","6785","3.7593","Eukaryota","Bacillariophyta","c_000003101788"
"","1884","0.5826","8295","1.6153","no-hit","no-hit","c_000001059661"
"","1885","0.5635","5267","1.3919","no-hit","no-hit","c_000001923634"
"","1886","0.5465","7133","1.2361","Eukaryota","Haptophyta","c_000004160615"
"","1887","0.4766","4564","18.6624","no-hit","no-hit","c_000000176633"
"","1888","0.5175","2572","12.8468","no-hit","no-hit","c_000005280857"
"","1889","0.5305","6810","6.093","no-hit","no-hit","c_000000709836"
"","1890","0.4999","5761","1.2425","no-hit","no-hit","c_000005409073"
"","1891","0.4931","9740","1.856","no-hit","no-hit","c_000000528906"
"","1892","0.4959","4283","1.6444","no-hit","no-hit","c_000002667009"
"","1893","0.5263","18164","3.4369","no-hit","no-hit","c_000000663318"
"","1894","0.5114","3279","5.1287","no-hit","no-hit","c_000001893060"
"","1895","0.5933","2535","1.187","no-hit","no-hit","c_000003865200"
"","1896","0.5556","7932","1.483","no-hit","no-hit","c_000004524817"
"","1897","0.5546","3029","5.2268","Eukaryota","Haptophyta","c_000002845663"
"","1898","0.5296","8220","2.5279","Eukaryota","Haptophyta","c_000003939426"
"","1899","0.4986","3181","19.1191","Eukaryota","Bacillariophyta","c_000005320160"
"","1900","0.55","6276","3.8728","Eukaryota","Haptophyta","c_000002483324"
"","1901","0.5343","7718","2.1854","Eukaryota","Haptophyta","c_000001421135"
"","1902","0.4839","3482","5.95","Eukaryota","Rhodophyta","c_000001011223"
"","1903","0.5048","6193","2.1121","no-hit","no-hit","c_000002040885"
"","1904","0.5114","17169","1.6637","Eukaryota","Haptophyta","c_000003031635"
"","1905","0.551","6982","1.7443","Eukaryota","Haptophyta","c_000003408991"
"","1906","0.5158","4746","2.6395","no-hit","no-hit","c_000000936417"
"","1907","0.5644","5090","1.0731","no-hit","no-hit","c_000003619604"
"","1908","0.5484","9875","1.4331","Eukaryota","Haptophyta","c_000000597112"
"","1909","0.5173","4133","1.2538","no-hit","no-hit","c_000000559207"
"","1910","0.5416","6372","1.4716","Eukaryota","Haptophyta","c_000000076286"
"","1911","0.504","8525","12.4243","Eukaryota","Haptophyta","c_000001297642"
"","1912","0.575","3007","1.0319","no-hit","no-hit","c_000002152205"
"","1913","0.5079","5473","1.9004","Eukaryota","Haptophyta","c_000000095532"
"","1914","0.5817","4863","1.2338","no-hit","no-hit","c_000001376526"
"","1915","0.531","9787","1.516","no-hit","no-hit","c_000005440511"
"","1916","0.55","11309","1.4918","Eukaryota","Haptophyta","c_000001837275"
"","1917","0.5205","4692","0.9314","no-hit","no-hit","c_000005079730"
"","1918","0.509","15121","1.954","no-hit","no-hit","c_000000540683"
"","1919","0.527","7308","4.3385","no-hit","no-hit","c_000001395372"
"","1920","0.524","8968","1.7431","Eukaryota","Haptophyta","c_000005042805"
"","1921","0.53","5676","3.0648","no-hit","no-hit","c_000001992340"
"","1923","0.5465","3612","1.7016","no-hit","no-hit","c_000002238236"
"","1924","0.5208","3341","8.9647","no-hit","no-hit","c_000002056998"
"","1925","0.5546","9573","1.3816","no-hit","no-hit","c_000004250029"
"","1926","0.6013","2819","1.735","Eukaryota","Haptophyta","c_000002205889"
"","1927","0.5244","5078","2.5224","no-hit","no-hit","c_000002123519"
"","1928","0.5328","2808","2.0605","no-hit","no-hit","c_000004019164"
"","1929","0.5607","5625","119.515","no-hit","no-hit","c_000000712491"
"","1930","0.533","5079","3.2932","no-hit","no-hit","c_000001995134"
"","1931","0.5398","9594","2.1886","Eukaryota","Haptophyta","c_000003772160"
"","1932","0.5439","3348","19.1473","no-hit","no-hit","c_000000048377"
"","1933","0.4881","13537","5.2812","no-hit","no-hit","c_000002177443"
"","1934","0.5291","7296","1.9305","no-hit","no-hit","c_000004191177"
"","1935","0.5967","10939","1.5744","no-hit","no-hit","c_000002862836"
"","1936","0.5745","8846","1.9414","Eukaryota","Haptophyta","c_000003591815"
"","1937","0.5584","3809","5.3854","no-hit","no-hit","c_000003598645"
"","1938","0.4926","5723","2.6684","no-hit","no-hit","c_000000078349"
"","1939","0.5849","4871","3.0002","no-hit","no-hit","c_000002711357"
"","1940","0.5163","3285","2.2338","no-hit","no-hit","c_000000286862"
"","1941","0.4895","9734","2.4853","no-hit","no-hit","c_000000876988"
"","1942","0.5072","2636","0.975","no-hit","no-hit","c_000005477472"
"","1943","0.5378","5262","6.0315","no-hit","no-hit","c_000001306809"
"","1944","0.5394","9186","2.1377","no-hit","no-hit","c_000004129008"
"","1945","0.6009","11188","1.3507","Eukaryota","Haptophyta","c_000002436453"
"","1946","0.5624","5821","6.3163","Eukaryota","Haptophyta","c_000003567180"
"","1947","0.531","9542","1.8807","no-hit","no-hit","c_000000088682"
"","1948","0.5274","5578","1.754","Eukaryota","Haptophyta","c_000001215271"
"","1949","0.5156","3204","2.0003","no-hit","no-hit","c_000002764166"
"","1950","0.5246","8866","1.8657","Eukaryota","Haptophyta","c_000002180196"
"","1951","0.5897","7205","1.1972","no-hit","no-hit","c_000002591103"
"","1952","0.5337","2713","1.7457","Eukaryota","Haptophyta","c_000002310680"
"","1953","0.5357","7079","1.6276","Eukaryota","Haptophyta","c_000002093908"
"","1954","0.4945","9245","1.8703","Eukaryota","Haptophyta","c_000001713750"
"","1955","0.4892","8084","3.281","no-hit","no-hit","c_000000486622"
"","1956","0.6028","6093","1.4843","no-hit","no-hit","c_000001349147"
"","1957","0.5102","4281","1.9285","no-hit","no-hit","c_000005440492"
"","1958","0.5297","9030","1.7763","Eukaryota","Haptophyta","c_000000061515"
"","1959","0.5182","4074","3.0115","no-hit","no-hit","c_000003767362"
"","1960","0.5154","3213","2.6863","Eukaryota","Haptophyta","c_000001593375"
"","1961","0.5237","12772","2.406","Eukaryota","Haptophyta","c_000004408133"
"","1962","0.5788","2925","17.1142","no-hit","no-hit","c_000001002973"
"","1963","0.545","7070","2.1945","no-hit","no-hit","c_000004614956"
"","1964","0.5293","9114","2.8251","Eukaryota","Haptophyta","c_000003494988"
"","1965","0.5677","3440","1.4064","Eukaryota","Haptophyta","c_000003520250"
"","1966","0.5379","2982","1.2817","no-hit","no-hit","c_000001228507"
"","1967","0.5658","13216","3.7204","Eukaryota","Haptophyta","c_000002005293"
"","1968","0.525","8293","1.5118","Eukaryota","Haptophyta","c_000000570529"
"","1969","0.5379","5086","1.7959","no-hit","no-hit","c_000002494923"
"","1970","0.6161","3639","0.6631","no-hit","no-hit","c_000004661598"
"","1971","0.5474","10804","1.8502","no-hit","no-hit","c_000002230341"
"","1972","0.527","8608","1.4053","no-hit","no-hit","c_000002502409"
"","1973","0.4995","4635","2.2196","no-hit","no-hit","c_000004465460"
"","1974","0.539","4152","2.0821","no-hit","no-hit","c_000002774423"
"","1975","0.486","5303","2.8207","no-hit","no-hit","c_000002726756"
"","1976","0.4962","9722","2.6473","no-hit","no-hit","c_000003529200"
"","1977","0.4917","7840","1.9524","no-hit","no-hit","c_000001702639"
"","1978","0.4883","4671","13.4888","no-hit","no-hit","c_000000553061"
"","1979","0.5277","7666","6.2617","no-hit","no-hit","c_000001956448"
"","1980","0.5587","9733","5.173","Eukaryota","Haptophyta","c_000001325775"
"","1981","0.5849","6776","1.1945","no-hit","no-hit","c_000004141611"
"","1982","0.4403","3532","51.9785","no-hit","no-hit","c_000001303857"
"","1983","0.5489","4090","1.1814","no-hit","no-hit","c_000001730029"
"","1984","0.5238","4903","2.2543","no-hit","no-hit","c_000003056327"
"","1985","0.5031","3969","3.3225","no-hit","no-hit","c_000002355776"
"","1986","0.5619","9669","1.7394","Eukaryota","Haptophyta","c_000001555815"
"","1987","0.5505","3595","1.5143","Eukaryota","Haptophyta","c_000000663000"
"","1988","0.6203","3758","0.8784","Eukaryota","Haptophyta","c_000000974948"
"","1989","0.5115","3185","1.054","no-hit","no-hit","c_000003909275"
"","1990","0.5539","3031","1.3299","no-hit","no-hit","c_000003140560"
"","1991","0.524","5815","1.7247","no-hit","no-hit","c_000003165301"
"","1992","0.5882","3502","1.0705","no-hit","no-hit","c_000000799039"
"","1993","0.4982","3679","1.9364","Eukaryota","Haptophyta","c_000000471472"
"","1994","0.5196","3724","0.8759","no-hit","no-hit","c_000002202653"
"","1995","0.5806","3689","6.0407","no-hit","no-hit","c_000003451532"
"","1996","0.5542","7653","4.6672","Eukaryota","Haptophyta","c_000000220572"
"","1997","0.5121","3966","2.5638","Eukaryota","Haptophyta","c_000002406687"
"","1998","0.4872","7019","3.6948","no-hit","no-hit","c_000000645595"
"","1999","0.5091","13902","2.7471","Eukaryota","Eukaryota-undef","c_000003676727"
"","2000","0.5149","3987","7.0936","Eukaryota","Haptophyta","c_000005412436"
"","2001","0.5952","3634","1.5982","no-hit","no-hit","c_000003488695"
"","2002","0.5116","9369","8.4235","no-hit","no-hit","c_000003699110"
"","2003","0.522","3985","1.341","no-hit","no-hit","c_000004373817"
"","2004","0.5204","3726","3.5013","no-hit","no-hit","c_000001570803"
"","2005","0.5576","9338","59.0917","Eukaryota","Haptophyta","c_000001395050"
"","2006","0.5126","4015","2.3696","no-hit","no-hit","c_000001079803"
"","2007","0.496","3774","2.0612","no-hit","no-hit","c_000001635011"
"","2008","0.5314","3641","1.4372","no-hit","no-hit","c_000005502260"
"","2009","0.4802","4786","2.3017","no-hit","no-hit","c_000000109421"
"","2010","0.4821","2630","2.5947","no-hit","no-hit","c_000001357361"
"","2011","0.5665","7228","5.2218","no-hit","no-hit","c_000002806008"
"","2012","0.5407","6175","2.1451","no-hit","no-hit","c_000003948304"
"","2013","0.5377","4326","2.2342","Eukaryota","Oomycota","c_000000936532"
"","2014","0.5739","3469","6.6852","no-hit","no-hit","c_000005509882"
"","2015","0.5151","2520","0.2397","no-hit","no-hit","c_000000518500"
"","2016","0.5554","6991","1.1041","no-hit","no-hit","c_000002190497"
"","2017","0.5132","8581","3.2511","no-hit","no-hit","c_000000133594"
"","2018","0.5149","12656","1.4777","Eukaryota","Haptophyta","c_000004692480"
"","2019","0.5264","10423","1.6783","no-hit","no-hit","c_000002305044"
"","2020","0.491","5358","2.4392","Eukaryota","Haptophyta","c_000000428410"
"","2021","0.5376","10086","1.9494","no-hit","no-hit","c_000003396911"
"","2022","0.56","5155","1.4369","no-hit","no-hit","c_000002598457"
"","2023","0.54","8609","2.3712","Eukaryota","Haptophyta","c_000003806098"
"","2024","0.5585","2976","1.2268","Eukaryota","Haptophyta","c_000002020879"
"","2025","0.5001","3589","1.6715","no-hit","no-hit","c_000001272822"
"","2026","0.5239","4253","6.3266","no-hit","no-hit","c_000000608031"
"","2027","0.6084","3751","8.5468","no-hit","no-hit","c_000002551771"
"","2028","0.5213","3029","3.5896","no-hit","no-hit","c_000004339483"
"","2029","0.5883","2912","0.8293","no-hit","no-hit","c_000005446321"
"","2030","0.5333","5734","2.1277","Eukaryota","Haptophyta","c_000005084811"
"","2031","0.5652","6638","1.9937","no-hit","no-hit","c_000003025619"
"","2032","0.4977","2877","5.5923","no-hit","no-hit","c_000005105864"
"","2033","0.632","3196","0.8323","no-hit","no-hit","c_000002396900"
"","2034","0.5311","10076","1.6146","Eukaryota","Haptophyta","c_000000945766"
"","2035","0.5394","8297","5.304","Eukaryota","Haptophyta","c_000001309903"
"","2036","0.5163","6095","1.2253","Eukaryota","Haptophyta","c_000001383353"
"","2037","0.5829","7795","0.8821","no-hit","no-hit","c_000002109352"
"","2038","0.5186","6109","2.1293","no-hit","no-hit","c_000000710430"
"","2039","0.4757","3532","1.8726","no-hit","no-hit","c_000001606602"
"","2040","0.5685","4616","5.5877","no-hit","no-hit","c_000001400528"
"","2041","0.5188","4406","3.9739","Eukaryota","Haptophyta","c_000000837995"
"","2042","0.5067","3708","2.3951","Eukaryota","Haptophyta","c_000002550079"
"","2043","0.4821","4887","1.7882","no-hit","no-hit","c_000000176068"
"","2044","0.5992","3401","1.2241","no-hit","no-hit","c_000002107436"
"","2045","0.517","3538","7.1995","Eukaryota","Haptophyta","c_000004587128"
"","2046","0.5431","14499","1.4053","Eukaryota","Chlorophyta","c_000001171537"
"","2047","0.5152","6180","9.1479","Eukaryota","Mollusca","c_000002435451"
"","2048","0.4556","3872","8.8951","no-hit","no-hit","c_000000438301"
"","2049","0.5475","4694","5.5628","no-hit","no-hit","c_000000155059"
"","2050","0.5317","5648","7.6746","Eukaryota","Haptophyta","c_000000500784"
"","2051","0.5594","7215","5.0567","Eukaryota","Bacillariophyta","c_000001328100"
"","2052","0.5334","2949","0.8108","no-hit","no-hit","c_000002929592"
"","2053","0.4936","6283","1.3895","Eukaryota","Haptophyta","c_000001281276"
"","2054","0.563","11789","2.2643","no-hit","no-hit","c_000002198666"
"","2055","0.541","3009","1.5178","no-hit","no-hit","c_000000926736"
"","2056","0.5651","5721","1.7749","Eukaryota","Haptophyta","c_000001129938"
"","2057","0.5705","5681","5.1072","no-hit","no-hit","c_000003549323"
"","2058","0.5146","6069","1.859","Eukaryota","Eukaryota-undef","c_000002660809"
"","2059","0.5275","6447","1.5527","Eukaryota","Bacillariophyta","c_000004037592"
"","2060","0.4854","7384","5.8422","no-hit","no-hit","c_000005130315"
"","2061","0.541","6893","2.7035","no-hit","no-hit","c_000000667225"
"","2062","0.5474","7387","2.8321","Eukaryota","Haptophyta","c_000004460692"
"","2063","0.5202","4089","4.5219","no-hit","no-hit","c_000002332885"
"","2064","0.5663","3433","2.1975","no-hit","no-hit","c_000002375063"
"","2065","0.4964","2649","17.5693","no-hit","no-hit","c_000000663638"
"","2066","0.5249","3843","1.4928","Eukaryota","Haptophyta","c_000003080176"
"","2067","0.5685","6829","1.5838","Eukaryota","Eukaryota-undef","c_000000002457"
"","2068","0.5216","5056","11.2601","no-hit","no-hit","c_000002372783"
"","2069","0.5157","4107","0.8069","no-hit","no-hit","c_000001717027"
"","2070","0.5358","7479","1.8945","Eukaryota","Eukaryota-undef","c_000002320879"
"","2071","0.4886","3557","11.9294","no-hit","no-hit","c_000001459261"
"","2072","0.6405","4706","1.089","Eukaryota","Haptophyta","c_000001099926"
"","2073","0.4616","4866","2.1956","no-hit","no-hit","c_000000000553"
"","2074","0.4835","2821","2.0539","Eukaryota","Haptophyta","c_000000549636"
"","2075","0.4774","4210","1.3356","no-hit","no-hit","c_000004553099"
"","2076","0.5074","10578","2.1317","Eukaryota","Haptophyta","c_000000742991"
"","2077","0.5181","3924","1.5199","no-hit","no-hit","c_000000605641"
"","2078","0.5454","3335","2.3505","Eukaryota","Haptophyta","c_000004896278"
"","2079","0.475","4587","2.1729","Eukaryota","Haptophyta","c_000001111759"
"","2080","0.5856","5174","3.685","Eukaryota","Haptophyta","c_000001524555"
"","2081","0.5682","3432","1.079","no-hit","no-hit","c_000004003765"
"","2082","0.5286","5747","2.3271","no-hit","no-hit","c_000001990626"
"","2083","0.4974","9367","2.2989","no-hit","no-hit","c_000003003454"
"","2084","0.4908","3576","1.7836","Eukaryota","Haptophyta","c_000002533738"
"","2085","0.5397","10094","13.7641","Eukaryota","Haptophyta","c_000002309721"
"","2086","0.5992","21378","1.7649","Eukaryota","Haptophyta","c_000000626139"
"","2087","0.506","8441","2.1739","no-hit","no-hit","c_000001806583"
"","2088","0.5269","7233","5.5934","Eukaryota","Basidiomycota","c_000000164429"
"","2089","0.5727","5970","1.7481","Eukaryota","Haptophyta","c_000002242222"
"","2090","0.5505","5279","1.8401","Eukaryota","Haptophyta","c_000004081567"
"","2091","0.5113","3405","33.0106","no-hit","no-hit","c_000000779373"
"","2092","0.5578","7626","2.1859","no-hit","no-hit","c_000000734304"
"","2093","0.5277","2856","2.0693","no-hit","no-hit","c_000003904746"
"","2094","0.5842","5130","2.4563","Eukaryota","Haptophyta","c_000001646137"
"","2095","0.5356","9940","0.8731","no-hit","no-hit","c_000000741859"
"","2096","0.5392","3160","1.2415","no-hit","no-hit","c_000004078298"
"","2097","0.5103","4331","8.9457","no-hit","no-hit","c_000002582945"
"","2098","0.586","7237","1.0667","Eukaryota","Haptophyta","c_000001131811"
"","2099","0.5413","2640","1.3818","Eukaryota","Streptophyta","c_000001158918"
"","2100","0.5207","13835","9.4918","Eukaryota","Haptophyta","c_000000194134"
"","2101","0.6088","11777","3.3728","no-hit","no-hit","c_000000927769"
"","2102","0.5571","2748","1.6652","no-hit","no-hit","c_000001005998"
"","2103","0.4909","6007","2.5807","no-hit","no-hit","c_000000670178"
"","2104","0.6043","2992","2.4164","no-hit","no-hit","c_000001602652"
"","2106","0.542","4974","0.9411","Eukaryota","Haptophyta","c_000004568438"
"","2107","0.5201","4059","2.9611","no-hit","no-hit","c_000000505440"
"","2108","0.5359","4454","159.1911","Eukaryota","Haptophyta","c_000001258356"
"","2109","0.5282","5263","4.5358","no-hit","no-hit","c_000000263792"
"","2110","0.5458","6618","1.3132","Eukaryota","Haptophyta","c_000001945422"
"","2111","0.525","14455","25.6152","Eukaryota","Haptophyta","c_000001928913"
"","2112","0.5414","6770","1.5013","Eukaryota","Haptophyta","c_000003160686"
"","2113","0.5486","4123","8.1577","Eukaryota","Haptophyta","c_000003747120"
"","2114","0.5289","4171","3.2304","no-hit","no-hit","c_000003925764"
"","2115","0.5465","3579","5.0981","Eukaryota","Haptophyta","c_000004470587"
"","2116","0.4984","3941","1.0954","Eukaryota","Haptophyta","c_000002358200"
"","2117","0.5197","7997","1.2175","no-hit","no-hit","c_000001371679"
"","2118","0.5168","4965","0.8711","Eukaryota","Haptophyta","c_000004232735"
"","2119","0.5278","14162","1.8871","no-hit","no-hit","c_000002863561"
"","2120","0.5374","3407","2.3965","Eukaryota","Haptophyta","c_000004041555"
"","2121","0.5034","2835","1.5051","no-hit","no-hit","c_000005085439"
"","2122","0.5553","5096","76.4107","Eukaryota","Haptophyta","c_000005451103"
"","2123","0.5343","4058","1.4588","no-hit","no-hit","c_000002183609"
"","2124","0.4808","11080","3.4142","Eukaryota","Haptophyta","c_000004190726"
"","2125","0.5366","3878","1.9572","no-hit","no-hit","c_000002419771"
"","2126","0.5564","5162","3.2447","no-hit","no-hit","c_000000168180"
"","2127","0.515","12273","2.5194","no-hit","no-hit","c_000001327578"
"","2128","0.5764","4816","1.6316","no-hit","no-hit","c_000003814110"
"","2129","0.4646","7905","2.1747","Eukaryota","Haptophyta","c_000003192733"
"","2130","0.523","12799","3.8777","no-hit","no-hit","c_000004551802"
"","2131","0.5035","2985","1.1953","no-hit","no-hit","c_000001524098"
"","2132","0.5819","3774","2.0718","Eukaryota","Haptophyta","c_000003549968"
"","2133","0.5247","16538","1.4505","Eukaryota","Haptophyta","c_000002076569"
"","2134","0.5066","4406","2.1262","Eukaryota","Eukaryota-undef","c_000002387189"
"","2135","0.5733","2761","1.9218","no-hit","no-hit","c_000001207376"
"","2136","0.5456","5207","1.3851","Eukaryota","Haptophyta","c_000000187980"
"","2137","0.5659","18369","1.2701","Eukaryota","Arthropoda","c_000000903978"
"","2138","0.4813","7131","15.6052","no-hit","no-hit","c_000000483748"
"","2139","0.5339","8350","5.9234","Eukaryota","Haptophyta","c_000001505617"
"","2140","0.5176","5904","2.4971","Eukaryota","Haptophyta","c_000002580857"
"","2141","0.5121","4833","2.1024","no-hit","no-hit","c_000002000249"
"","2142","0.5157","3783","2.009","Eukaryota","Haptophyta","c_000002211750"
"","2143","0.5492","10175","2.4134","no-hit","no-hit","c_000002035633"
"","2144","0.5338","4878","1.6874","no-hit","no-hit","c_000000607077"
"","2145","0.5188","3583","1.163","Eukaryota","Haptophyta","c_000003132903"
"","2146","0.5705","4182","1.2188","Eukaryota","Haptophyta","c_000002080551"
"","2147","0.5131","4705","1.4893","no-hit","no-hit","c_000001993157"
"","2148","0.5543","3906","1.5694","no-hit","no-hit","c_000001646368"
"","2149","0.5004","5106","4.4677","no-hit","no-hit","c_000002220875"
"","2150","0.5668","5492","1.8429","Eukaryota","Haptophyta","c_000003603739"
"","2151","0.4992","8415","2.4699","no-hit","no-hit","c_000000788649"
"","2152","0.5689","7736","3.5546","Eukaryota","Haptophyta","c_000001544502"
"","2153","0.568","8378","1.3089","Eukaryota","Chordata","c_000002497196"
"","2154","0.5231","3097","2.2564","Eukaryota","Haptophyta","c_000002098740"
"","2155","0.5775","4009","1.2639","no-hit","no-hit","c_000003251330"
"","2156","0.5519","10887","6.1906","Eukaryota","Haptophyta","c_000000581989"
"","2157","0.483","3174","3.7996","no-hit","no-hit","c_000001315279"
"","2158","0.4586","2872","2.812","no-hit","no-hit","c_000001832484"
"","2159","0.4924","4314","0.9914","no-hit","no-hit","c_000002032034"
"","2160","0.5362","15900","2.3194","no-hit","no-hit","c_000003567808"
"","2162","0.4883","4200","1.6217","Eukaryota","Haptophyta","c_000003561773"
"","2163","0.5252","4128","2.2892","no-hit","no-hit","c_000003689154"
