"sel","_id","gc","length","W_METABAT__21-contigs.CE_108A_S70_R1_filtered.remap_cov","bestsumorder_superkingdom","bestsumorder_phylum","id"
"","353","0.4753","13342","15.9873","Eukaryota","Chytridiomycota","c_000000371169"
"","354","0.4952","7029","16.7485","Eukaryota","Chytridiomycota","c_000004084559"
"","355","0.4713","5164","19.6921","no-hit","no-hit","c_000000429211"
"","356","0.4795","9419","16.78","Eukaryota","Chytridiomycota","c_000003284439"
"","357","0.4651","3945","31.4517","Eukaryota","Chytridiomycota","c_000004917315"
"","358","0.4775","7815","17.0325","Eukaryota","Chytridiomycota","c_000003227863"
"","359","0.494","8146","15.9349","Eukaryota","Chytridiomycota","c_000000403225"
"","360","0.4886","4265","17.4989","no-hit","no-hit","c_000000428118"
"","361","0.4662","3106","13.961","Eukaryota","Chytridiomycota","c_000001599618"
"","362","0.5069","6311","15.4443","no-hit","no-hit","c_000002511268"
"","363","0.5171","8731","16.7556","Eukaryota","Chytridiomycota","c_000004099542"
"","364","0.4656","17824","19.7709","Eukaryota","Chytridiomycota","c_000001705161"
"","365","0.4645","20112","14.8179","Eukaryota","Chytridiomycota","c_000002343778"
"","366","0.4837","4240","13.2226","Eukaryota","Chytridiomycota","c_000000917198"
"","367","0.4582","18249","16.5829","Eukaryota","Chytridiomycota","c_000001164262"
"","368","0.5032","8064","13.7925","Eukaryota","Mucoromycota","c_000001809894"
"","369","0.5368","7959","40.4844","Eukaryota","Chytridiomycota","c_000000350749"
"","370","0.4908","5275","18.3122","Eukaryota","Chytridiomycota","c_000001200940"
"","372","0.4598","22475","16.2669","Eukaryota","Mucoromycota","c_000001994496"
"","373","0.4852","22487","14.8385","Eukaryota","Chytridiomycota","c_000004146316"
"","374","0.4605","3053","12.0606","no-hit","no-hit","c_000001197302"
"","375","0.492","4760","15.679","Eukaryota","Chytridiomycota","c_000000030864"
"","376","0.4933","6539","77.0445","Eukaryota","Chytridiomycota","c_000001031353"
"","377","0.4893","4218","14.9535","no-hit","no-hit","c_000003662907"
"","378","0.4971","6323","33.3845","Eukaryota","Chytridiomycota","c_000000938789"
"","379","0.4868","17728","14.602","Eukaryota","Mucoromycota","c_000000184988"
"","380","0.5181","5406","13.3174","Eukaryota","Chordata","c_000004052190"
"","381","0.5054","12835","13.6546","Eukaryota","Mucoromycota","c_000000184593"
"","382","0.5045","8924","15.1737","Eukaryota","Chytridiomycota","c_000001456300"
"","383","0.5041","4981","16.4142","Eukaryota","Chytridiomycota","c_000003998868"
"","384","0.4854","5395","13.99","Eukaryota","Basidiomycota","c_000005157800"
"","385","0.491","3487","17.3777","no-hit","no-hit","c_000002275702"
"","386","0.4898","35503","15.286","Eukaryota","Chytridiomycota","c_000002134772"
"","387","0.4598","10774","17.4778","Eukaryota","Chytridiomycota","c_000001279466"
"","388","0.4924","3702","7.6637","Eukaryota","Chytridiomycota","c_000003801289"
"","389","0.5202","4754","16.0926","Eukaryota","Chytridiomycota","c_000005303985"
"","390","0.4748","37369","16.3021","Eukaryota","Chytridiomycota","c_000003774429"
"","391","0.5","8120","15.1106","Eukaryota","Chytridiomycota","c_000001928395"
"","392","0.4953","8550","15.877","Eukaryota","Mucoromycota","c_000001695163"
"","393","0.4831","7148","14.9453","Eukaryota","Chytridiomycota","c_000000399909"
"","394","0.4848","10214","24.5515","Eukaryota","Ascomycota","c_000000285105"
"","395","0.4816","15444","17.1858","Eukaryota","Chytridiomycota","c_000000175867"
"","396","0.4541","3336","10.6124","Eukaryota","Oomycota","c_000000229939"
"","397","0.5028","6607","11.8636","no-hit","no-hit","c_000002537829"
"","398","0.4555","6494","14.7975","Eukaryota","Chytridiomycota","c_000000245143"
"","399","0.5145","7810","14.5539","no-hit","no-hit","c_000001079478"
"","400","0.4757","9290","16.6404","Eukaryota","Chytridiomycota","c_000003233030"
"","401","0.5006","13651","15.3293","Eukaryota","Chytridiomycota","c_000004081124"
"","402","0.457","14370","18.5415","Eukaryota","Chytridiomycota","c_000000385957"
"","403","0.4926","2753","15.9564","Eukaryota","Chytridiomycota","c_000004735789"
"","404","0.4776","21037","17.5961","Eukaryota","Chytridiomycota","c_000005385709"
"","405","0.4786","21132","16.1571","Eukaryota","Zoopagomycota","c_000000984075"
"","406","0.4852","23073","18.9824","Eukaryota","Chytridiomycota","c_000001376961"
"","407","0.4905","5103","7.2222","Eukaryota","Chytridiomycota","c_000003561565"
"","408","0.4879","8284","15.8864","Eukaryota","Basidiomycota","c_000002715955"
"","409","0.4617","13958","16.6616","Eukaryota","Chytridiomycota","c_000000640976"
"","410","0.5057","4020","18.3194","Eukaryota","Chytridiomycota","c_000000546048"
"","411","0.502","9996","13.9394","Eukaryota","Chytridiomycota","c_000000560505"
"","412","0.5357","3694","18.7664","no-hit","no-hit","c_000004800005"
"","413","0.5068","25420","15.2875","Eukaryota","Chytridiomycota","c_000000073207"
"","414","0.507","4231","16.8171","Eukaryota","Chytridiomycota","c_000000365745"
"","415","0.5156","3470","19.0294","Eukaryota","Chytridiomycota","c_000000197422"
"","416","0.4759","10359","15.3083","Eukaryota","Chytridiomycota","c_000001703276"
"","417","0.4902","2742","16.961","no-hit","no-hit","c_000003928094"
"","418","0.4814","39251","15.6948","Eukaryota","Chytridiomycota","c_000004195745"
"","419","0.496","3494","20.6918","Eukaryota","Chytridiomycota","c_000002560677"
"","420","0.491","5914","16.2827","Eukaryota","Chytridiomycota","c_000002628696"
"","421","0.4979","3360","16.9679","no-hit","no-hit","c_000002958145"
"","422","0.4798","5146","16.7835","no-hit","no-hit","c_000001766884"
"","423","0.4964","14858","15.7743","Eukaryota","Chytridiomycota","c_000000366266"
"","424","0.47","3234","15.4607","no-hit","no-hit","c_000000667137"
"","425","0.5191","7224","16.41","Eukaryota","Zoopagomycota","c_000000595911"
"","426","0.482","24174","12.3962","Eukaryota","Chytridiomycota","c_000001051768"
"","427","0.4911","5722","17.5863","no-hit","no-hit","c_000001219843"
"","428","0.4873","5884","18.4237","Eukaryota","Nematoda","c_000003567569"
"","429","0.4581","4309","20.4026","no-hit","no-hit","c_000000122606"
"","430","0.5177","7668","14.2113","Eukaryota","Chytridiomycota","c_000001893266"
"","431","0.5051","19602","15.5241","Eukaryota","Mucoromycota","c_000001211467"
"","432","0.4814","3299","14.2722","Eukaryota","Zoopagomycota","c_000003515874"
"","433","0.4817","5491","13.6775","Eukaryota","Chytridiomycota","c_000000496194"
"","434","0.4782","27962","15.1586","Eukaryota","Chytridiomycota","c_000003741094"
"","435","0.5023","14795","15.8904","Eukaryota","Chytridiomycota","c_000000595296"
"","436","0.4844","29221","14.8572","Eukaryota","Chytridiomycota","c_000001833861"
"","437","0.5031","8676","19.8701","no-hit","no-hit","c_000001599293"
"","438","0.4707","10447","16.2136","Eukaryota","Ascomycota","c_000001600418"
"","439","0.4334","3475","19.9108","no-hit","no-hit","c_000001760466"
"","440","0.5139","5705","20.6401","Eukaryota","Ascomycota","c_000000843170"
"","441","0.4894","8697","13.9066","Eukaryota","Chytridiomycota","c_000000537247"
"","442","0.488","13536","15.6673","Eukaryota","Chytridiomycota","c_000000151553"
"","443","0.4504","6699","18.3951","Eukaryota","Chytridiomycota","c_000002098925"
"","444","0.4774","7790","14.2098","Eukaryota","Mucoromycota","c_000002298623"
"","445","0.5215","5663","18.2513","Eukaryota","Chytridiomycota","c_000002558052"
"","446","0.4787","16636","14.4724","Eukaryota","Chytridiomycota","c_000000648672"
"","447","0.4756","21342","16.7336","Eukaryota","Chytridiomycota","c_000000455413"
"","448","0.5026","7517","43.5073","Eukaryota","Mucoromycota","c_000000666005"
"","449","0.4686","39210","16.0792","Eukaryota","Chytridiomycota","c_000005190769"
"","450","0.5415","3134","14.7007","no-hit","no-hit","c_000002090769"
"","451","0.4581","14251","15.3445","Eukaryota","Chytridiomycota","c_000002043805"
"","452","0.4534","5390","26.9353","Eukaryota","Chytridiomycota","c_000000113874"
"","453","0.4812","27999","15.4422","Eukaryota","Chytridiomycota","c_000002110933"
"","454","0.5021","10437","13.961","Eukaryota","Chytridiomycota","c_000001174376"
"","455","0.4712","8365","14.0032","Eukaryota","Chytridiomycota","c_000000374882"
"","456","0.4852","11274","15.5226","Eukaryota","Chytridiomycota","c_000003771402"
"","457","0.5505","3146","11.5537","Eukaryota","Zoopagomycota","c_000002196333"
"","458","0.4873","13588","13.9081","Eukaryota","Haptophyta","c_000002386112"
"","459","0.4837","4176","15.5666","Eukaryota","Chytridiomycota","c_000002876086"
"","460","0.4643","23558","17.4112","Eukaryota","Chytridiomycota","c_000000724865"
"","461","0.4948","4481","13.2087","no-hit","no-hit","c_000001437413"
"","462","0.5302","5932","16.4213","no-hit","no-hit","c_000002601329"
"","463","0.4522","20220","16.7896","Eukaryota","Chytridiomycota","c_000005141682"
"","464","0.5095","7402","15.6377","Eukaryota","Chytridiomycota","c_000001078734"
"","465","0.4925","22373","14.8966","Eukaryota","Chytridiomycota","c_000001599511"
"","466","0.5094","10241","15.5295","Eukaryota","Eukaryota-undef","c_000001815460"
"","467","0.4588","18029","17.3018","Eukaryota","Chytridiomycota","c_000001303363"
"","468","0.4779","13240","17.4165","no-hit","no-hit","c_000000414198"
"","469","0.5026","6622","15.8834","Eukaryota","Chytridiomycota","c_000000284788"
"","470","0.5479","3915","17.8332","Eukaryota","Chytridiomycota","c_000003702496"
"","471","0.5191","4768","15.5371","Eukaryota","Chytridiomycota","c_000003238059"
"","472","0.4907","32233","16.2945","Eukaryota","Zoopagomycota","c_000000390508"
"","473","0.4736","6573","16.7319","Eukaryota","Eukaryota-undef","c_000001123681"
"","474","0.4775","30441","18.116","Eukaryota","Chytridiomycota","c_000001260521"
"","475","0.5022","2977","20.3003","Eukaryota","Chordata","c_000003234323"
"","476","0.4946","5692","16.2978","Eukaryota","Eukaryota-undef","c_000001044604"
"","477","0.4861","4758","16.0557","no-hit","no-hit","c_000000011193"
"","478","0.5047","23726","15.849","Eukaryota","Chytridiomycota","c_000005155034"
"","479","0.5053","5048","21.5372","Eukaryota","Chytridiomycota","c_000001175394"
"","480","0.5083","5076","14.2203","Eukaryota","Chytridiomycota","c_000001771960"
"","481","0.4562","5677","18.007","Eukaryota","Chytridiomycota","c_000005138634"
"","482","0.4781","13039","15.388","Eukaryota","Chytridiomycota","c_000002806627"
"","483","0.4888","47360","15.5469","Eukaryota","Chytridiomycota","c_000001388664"
"","484","0.4618","4060","20.2094","Eukaryota","Mucoromycota","c_000003729322"
"","485","0.5204","3680","35.6236","Eukaryota","Chytridiomycota","c_000002074973"
"","486","0.492","4333","14.4267","Eukaryota","Chordata","c_000002150719"
"","487","0.4579","9692","17.5466","Eukaryota","Chytridiomycota","c_000000461483"
"","488","0.4952","5921","16.2478","Eukaryota","Mucoromycota","c_000002800706"
"","489","0.4968","5318","14.2285","no-hit","no-hit","c_000001912404"
"","490","0.4843","4943","16.1485","no-hit","no-hit","c_000002638229"
"","491","0.4689","4135","19.5093","no-hit","no-hit","c_000004221640"
"","492","0.4816","22546","17.6149","Eukaryota","Chytridiomycota","c_000004391888"
"","493","0.4894","8075","17.0458","Eukaryota","Ascomycota","c_000000303737"
"","494","0.4867","4062","17.8486","Eukaryota","Chytridiomycota","c_000002373387"
"","495","0.4104","2656","23.5851","no-hit","no-hit","c_000000635149"
"","496","0.5274","3485","16.1288","no-hit","no-hit","c_000001532272"
"","497","0.4848","9179","14.897","Eukaryota","Chytridiomycota","c_000002201880"
"","498","0.5036","12309","22.2137","Eukaryota","Zoopagomycota","c_000002687392"
"","499","0.4833","21916","15.3043","Eukaryota","Chytridiomycota","c_000001845037"
"","500","0.482","4604","14.879","Eukaryota","Chytridiomycota","c_000003078438"
"","501","0.4929","3159","15.333","Eukaryota","Zoopagomycota","c_000001511359"
"","502","0.5042","7614","17.6843","Eukaryota","Chytridiomycota","c_000004033598"
"","503","0.5393","3299","13.7866","no-hit","no-hit","c_000001802682"
"","504","0.4748","44417","15.1732","Eukaryota","Chytridiomycota","c_000002295231"
"","505","0.4922","8110","14.9523","Eukaryota","Chytridiomycota","c_000002388849"
"","506","0.5065","21092","14.5668","Eukaryota","Chytridiomycota","c_000004457231"
"","507","0.5252","7877","14.6628","Eukaryota","Chytridiomycota","c_000001847609"
"","508","0.5059","7153","14.5879","Eukaryota","Chytridiomycota","c_000001050345"
"","509","0.4941","8071","14.9009","no-hit","no-hit","c_000003105560"
"","510","0.4966","15202","14.7443","Eukaryota","Chytridiomycota","c_000003222499"
"","511","0.4799","13181","15.5765","Eukaryota","Chytridiomycota","c_000000817257"
"","512","0.5067","35447","15.1106","Eukaryota","Chytridiomycota","c_000004709842"
"","513","0.4513","7214","15.6052","Eukaryota","Chytridiomycota","c_000000279554"
"","514","0.4917","4161","13.7457","Eukaryota","Chytridiomycota","c_000002667713"
"","515","0.5399","5897","13.9832","no-hit","no-hit","c_000001457936"
"","516","0.4795","9718","14.8806","Eukaryota","Mucoromycota","c_000001751968"
"","517","0.4878","10758","17.7946","Eukaryota","Chytridiomycota","c_000000496322"
"","518","0.4492","11517","17.1291","Eukaryota","Chytridiomycota","c_000002654541"
"","519","0.4714","24732","14.8978","Eukaryota","Chytridiomycota","c_000001717616"
"","520","0.4806","10552","15.7991","Eukaryota","Chytridiomycota","c_000003030371"
"","521","0.4691","18125","19.0953","Eukaryota","Chytridiomycota","c_000002596749"
"","522","0.5281","4247","15.3308","Eukaryota","Chytridiomycota","c_000003355756"
"","523","0.5096","19360","15.891","Eukaryota","Chytridiomycota","c_000002647389"
"","524","0.4921","10669","33.0949","Eukaryota","Chytridiomycota","c_000000279453"
"","525","0.4608","7649","16.9852","Eukaryota","Chytridiomycota","c_000001895241"
"","526","0.5187","9737","14.4609","Eukaryota","Chytridiomycota","c_000004547467"
"","527","0.4881","7277","13.7646","Eukaryota","Chytridiomycota","c_000000665899"
"","528","0.4842","8917","15.8881","Eukaryota","Echinodermata","c_000000462309"
"","529","0.494","23888","16.2845","Eukaryota","Chytridiomycota","c_000003162969"
"","530","0.529","9117","13.2053","Eukaryota","Mucoromycota","c_000003802780"
"","531","0.4706","4649","14.9951","Eukaryota","Blastocladiomycota","c_000002543743"
"","532","0.461","11863","17.6191","Eukaryota","Chytridiomycota","c_000000834673"
"","533","0.4569","23637","32.1295","Eukaryota","Chytridiomycota","c_000000698877"
"","534","0.4679","3165","16.2932","Eukaryota","Chytridiomycota","c_000001646480"
"","535","0.5083","29341","15.3278","Eukaryota","Chytridiomycota","c_000000321343"
"","536","0.4897","9742","14.8066","Eukaryota","Chordata","c_000001692723"
"","537","0.4818","4637","14.1999","Eukaryota","Chytridiomycota","c_000005045273"
"","538","0.4833","6793","19.6368","Eukaryota","Blastocladiomycota","c_000004098917"
"","539","0.4785","10610","16.376","Eukaryota","Chytridiomycota","c_000000811510"
"","540","0.4614","24104","20.9785","Eukaryota","Chytridiomycota","c_000001653266"
"","541","0.4706","6371","11.2624","Eukaryota","Chytridiomycota","c_000001938868"
"","542","0.4941","10538","16.0315","Eukaryota","Chytridiomycota","c_000001506980"
"","543","0.4716","32877","15.7335","Eukaryota","Chytridiomycota","c_000000694696"
"","544","0.4672","31903","17.0343","Eukaryota","Chytridiomycota","c_000001602431"
"","545","0.4944","3364","15.997","Eukaryota","Oomycota","c_000002162417"
"","546","0.4833","3257","17.8698","Eukaryota","Chytridiomycota","c_000002923400"
"","547","0.4811","20107","16.2463","Eukaryota","Blastocladiomycota","c_000003394201"
"","548","0.5181","7095","13.5983","Eukaryota","Chytridiomycota","c_000004271251"
"","549","0.5247","10877","13.7321","Eukaryota","Chytridiomycota","c_000000301859"
"","550","0.4703","6468","22.3888","no-hit","no-hit","c_000005497211"
"","551","0.4742","13883","13.8913","Eukaryota","Zoopagomycota","c_000000440393"
"","552","0.501","2627","16.0034","no-hit","no-hit","c_000001163685"
"","553","0.4819","3511","20.7308","Eukaryota","Chytridiomycota","c_000003275413"
"","554","0.5085","7074","14.9227","Eukaryota","Chytridiomycota","c_000002238010"
"","555","0.5074","10192","14.6273","Eukaryota","Chytridiomycota","c_000002873667"
"","556","0.4894","4356","16.3815","Eukaryota","Zoopagomycota","c_000000474495"
"","557","0.514","12060","15.5337","Eukaryota","Chytridiomycota","c_000000940409"
"","558","0.4771","11479","34.0165","Eukaryota","Chytridiomycota","c_000004675377"
"","559","0.4869","2528","14.5285","Eukaryota","Chytridiomycota","c_000001767767"
"","560","0.4715","4918","17.0643","no-hit","no-hit","c_000000333906"
"","561","0.4879","6717","12.5379","Eukaryota","Chytridiomycota","c_000000963722"
"","562","0.4862","6574","16.8753","Eukaryota","Chytridiomycota","c_000001717607"
"","563","0.4984","3862","21.0642","no-hit","no-hit","c_000002909430"
"","564","0.5012","10464","17.0961","Eukaryota","Chytridiomycota","c_000001699807"
"","565","0.4766","29458","15.3822","Eukaryota","Chytridiomycota","c_000000113249"
"","566","0.5482","2596","18.3856","no-hit","no-hit","c_000001007277"
"","567","0.5171","10116","16.5416","Eukaryota","Chytridiomycota","c_000002246626"
"","568","0.4905","11593","16.3845","Eukaryota","Chytridiomycota","c_000000243532"
"","569","0.4794","8556","16.8777","Eukaryota","Chytridiomycota","c_000001170697"
"","570","0.5146","5033","14.6952","Eukaryota","Chytridiomycota","c_000000349555"
"","571","0.5314","4003","16.6495","Eukaryota","Chytridiomycota","c_000000344278"
"","572","0.4927","10373","14.4283","Eukaryota","Chytridiomycota","c_000000765941"
"","573","0.4809","23341","15.8937","Eukaryota","Chytridiomycota","c_000000933872"
"","574","0.5507","2553","15.9048","no-hit","no-hit","c_000000664676"
"","575","0.5052","5671","16.039","Eukaryota","Chytridiomycota","c_000001791013"
"","576","0.483","16860","15.9787","Eukaryota","Chytridiomycota","c_000000362876"
"","577","0.4869","2563","17.6481","Eukaryota","Chytridiomycota","c_000000336209"
"","578","0.4778","6080","15.3125","no-hit","no-hit","c_000000866403"
"","579","0.4949","11149","18.6754","Eukaryota","Evosea","c_000000133329"
"","580","0.4749","10288","15.0896","Eukaryota","Basidiomycota","c_000003630193"
"","581","0.5084","5073","18.0412","Eukaryota","Chytridiomycota","c_000005101380"
"","582","0.4968","3331","15.0048","no-hit","no-hit","c_000003471513"
"","583","0.4716","9574","14.5439","Eukaryota","Streptophyta","c_000005089639"
"","584","0.4716","5159","17.108","Eukaryota","Mucoromycota","c_000002408947"
"","585","0.4805","15790","19.3973","Eukaryota","Chytridiomycota","c_000004971011"
"","586","0.5007","45532","34.7618","Eukaryota","Chytridiomycota","c_000000425159"
"","587","0.5093","5737","28.6394","no-hit","no-hit","c_000000771557"
"","588","0.4819","5794","18.5564","Eukaryota","Chytridiomycota","c_000000658020"
"","589","0.5208","3765","13.6815","Eukaryota","Blastocladiomycota","c_000001252233"
"","590","0.4605","12559","15.3494","Eukaryota","Cryptomycota","c_000000015833"
"","591","0.4486","16524","15.6018","Eukaryota","Chytridiomycota","c_000000457863"
"","592","0.4923","9244","15.2366","Eukaryota","Oomycota","c_000000410410"
"","593","0.5027","6001","16.1028","Eukaryota","Chytridiomycota","c_000001469305"
"","594","0.484","24746","16.0938","Eukaryota","Chytridiomycota","c_000000196211"
"","595","0.4856","48890","17.7555","Eukaryota","Chytridiomycota","c_000001929204"
"","596","0.5019","9186","19.9274","Eukaryota","Chytridiomycota","c_000001217312"
"","597","0.4534","3050","21.1023","Eukaryota","Chytridiomycota","c_000001076705"
"","598","0.4856","6512","16.0258","no-hit","no-hit","c_000005067656"
"","599","0.4887","27444","14.4546","Eukaryota","Chytridiomycota","c_000001221208"
"","600","0.4635","14873","17.5997","Eukaryota","Chytridiomycota","c_000001649984"
"","601","0.5137","24997","19.015","Eukaryota","Chytridiomycota","c_000000971707"
"","602","0.4418","3377","27.6447","no-hit","no-hit","c_000001916520"
"","603","0.4456","2702","13.9334","no-hit","no-hit","c_000003820768"
"","604","0.4834","4973","16.292","Eukaryota","Chytridiomycota","c_000004426152"
"","605","0.4767","16578","17.0374","Eukaryota","Chytridiomycota","c_000004232216"
"","606","0.5096","15863","15.4523","Eukaryota","Chytridiomycota","c_000001716012"
"","607","0.5001","9329","15.2397","Eukaryota","Chytridiomycota","c_000005085552"
"","608","0.4926","13978","15.3706","Eukaryota","Chytridiomycota","c_000002551922"
"","609","0.5118","5401","22.0863","Eukaryota","Chytridiomycota","c_000003396244"
"","610","0.498","3070","17.3697","Eukaryota","Chytridiomycota","c_000002772961"
"","611","0.453","11099","17.5901","Eukaryota","Chytridiomycota","c_000001490739"
"","612","0.4889","8196","24.7574","Eukaryota","Chytridiomycota","c_000004997983"
"","613","0.4523","3840","36.2768","no-hit","no-hit","c_000000171016"
"","614","0.4841","7170","16.2473","Eukaryota","Zoopagomycota","c_000001058078"
"","615","0.5126","2975","15.1123","no-hit","no-hit","c_000000942241"
"","616","0.4518","13090","15.3422","Eukaryota","Chytridiomycota","c_000000866937"
"","617","0.4686","34806","16.7634","Eukaryota","Chytridiomycota","c_000001023936"
"","618","0.5116","9282","15.3825","Eukaryota","Basidiomycota","c_000000432821"
"","619","0.4883","19601","16.4333","Eukaryota","Chytridiomycota","c_000002489170"
"","620","0.4519","44048","17.3949","Eukaryota","Chytridiomycota","c_000001739235"
"","621","0.4979","3553","14.8998","Eukaryota","Chytridiomycota","c_000002458118"
"","622","0.4992","12424","13.726","Eukaryota","Chytridiomycota","c_000002834392"
"","623","0.4978","14559","15.366","Eukaryota","Chytridiomycota","c_000000961297"
"","624","0.498","3434","15.8273","Eukaryota","Chytridiomycota","c_000002270741"
"","625","0.4928","2585","12.7594","Eukaryota","Chytridiomycota","c_000002740573"
"","626","0.4973","5620","16.0301","Eukaryota","Chytridiomycota","c_000001990899"
"","627","0.4805","23172","16.1107","Eukaryota","Chytridiomycota","c_000004347365"
"","628","0.4823","5202","22.1082","no-hit","no-hit","c_000000399426"
"","629","0.4759","11081","15.1558","Eukaryota","Chytridiomycota","c_000000488765"
"","630","0.5313","9190","13.1129","Eukaryota","Chytridiomycota","c_000000715347"
"","631","0.5024","4323","17.7962","Eukaryota","Chytridiomycota","c_000005425936"
"","632","0.477","4832","14.9572","Eukaryota","Chytridiomycota","c_000000951881"
"","633","0.5175","11132","15.2617","Eukaryota","Chytridiomycota","c_000002221802"
"","634","0.4825","8577","14.6491","Eukaryota","Chytridiomycota","c_000005061116"
"","635","0.4904","10954","15.5854","Eukaryota","Chytridiomycota","c_000001495595"
"","636","0.4771","18930","16.6873","Eukaryota","Chytridiomycota","c_000000514535"
"","637","0.4975","25381","14.2725","Eukaryota","Zoopagomycota","c_000003091467"
"","638","0.4664","27895","16.4436","Eukaryota","Chytridiomycota","c_000000192132"
"","639","0.4634","7799","29.2022","Eukaryota","Chytridiomycota","c_000001078787"
"","640","0.4626","29812","16.7547","Eukaryota","Chytridiomycota","c_000001394428"
"","641","0.4758","2522","17.4544","no-hit","no-hit","c_000000001261"
"","642","0.4733","14573","16.006","Eukaryota","Chytridiomycota","c_000001358104"
"","643","0.4792","5284","14.2243","Eukaryota","Chytridiomycota","c_000003204090"
"","644","0.5126","11787","13.474","no-hit","no-hit","c_000000326860"
"","645","0.4924","15013","15.3129","Eukaryota","Chytridiomycota","c_000001056352"
"","646","0.4769","44302","16.4044","Eukaryota","Mucoromycota","c_000000103051"
"","647","0.4904","5677","18.9575","Eukaryota","Chytridiomycota","c_000002486317"
"","648","0.4992","3570","14.9373","Eukaryota","Chytridiomycota","c_000002508331"
"","649","0.49","12509","15.7809","Eukaryota","Chytridiomycota","c_000000451297"
"","650","0.4893","18297","16.4504","Eukaryota","Chytridiomycota","c_000000154796"
"","651","0.4926","8138","16.0553","Eukaryota","Chytridiomycota","c_000002792245"
"","652","0.5157","13435","14.7395","Eukaryota","Chytridiomycota","c_000000106424"
"","653","0.494","15203","17.6403","Eukaryota","Chytridiomycota","c_000001703701"
"","654","0.4721","3461","14.406","no-hit","no-hit","c_000004468413"
"","655","0.476","24157","15.4452","Eukaryota","Chytridiomycota","c_000000289917"
"","656","0.4729","7721","14.3031","Eukaryota","Chytridiomycota","c_000001471414"
"","657","0.4812","16331","15.3487","Eukaryota","Chytridiomycota","c_000001057589"
"","658","0.53","5053","13.826","no-hit","no-hit","c_000004308517"
"","659","0.4901","12159","15.748","Eukaryota","Basidiomycota","c_000001781574"
"","660","0.5021","3585","14.4399","Eukaryota","Chytridiomycota","c_000004114215"
"","661","0.4709","24622","15.6791","Eukaryota","Chytridiomycota","c_000001390788"
"","662","0.4971","6393","15.3418","Eukaryota","Ascomycota","c_000001533606"
"","663","0.451","26800","17.8746","Eukaryota","Chytridiomycota","c_000001227997"
"","664","0.4757","14949","14.5604","Eukaryota","Chytridiomycota","c_000001732939"
"","665","0.4667","11605","48.2826","Eukaryota","Chytridiomycota","c_000003439046"
"","666","0.4985","4917","13.0362","Eukaryota","Ascomycota","c_000002843365"
"","667","0.5354","4354","15.6082","Eukaryota","Basidiomycota","c_000000286846"
"","668","0.5042","10639","14.5988","Eukaryota","Mucoromycota","c_000000866163"
"","669","0.4651","5382","19.8712","Eukaryota","Zoopagomycota","c_000004230805"
"","670","0.5241","10214","10.6867","Eukaryota","Chytridiomycota","c_000005409720"
"","671","0.522","3803","13.1615","Eukaryota","Chytridiomycota","c_000000606240"
"","672","0.5044","7052","14.2199","Eukaryota","Chytridiomycota","c_000000310910"
"","673","0.4878","17436","15.1817","Eukaryota","Chytridiomycota","c_000002006582"
"","674","0.488","16786","16.3672","Eukaryota","Chytridiomycota","c_000000512981"
"","675","0.5132","3587","15.0808","no-hit","no-hit","c_000000959228"
"","676","0.4978","8587","15.2376","Eukaryota","Chytridiomycota","c_000002026882"
"","677","0.511","18082","14.0668","Eukaryota","Chytridiomycota","c_000000195425"
"","678","0.4806","25372","17.6238","Eukaryota","Chytridiomycota","c_000000909318"
"","679","0.5148","4221","12.7195","no-hit","no-hit","c_000002250306"
"","680","0.4742","11902","14.1856","Eukaryota","Chytridiomycota","c_000003530480"
"","681","0.4664","28655","24.7856","Eukaryota","Chytridiomycota","c_000000918981"
"","682","0.4634","7972","16.5573","Eukaryota","Chytridiomycota","c_000001765599"
"","683","0.4727","7263","13.6313","Eukaryota","Chytridiomycota","c_000001359278"
"","684","0.4934","11316","15.4484","no-hit","no-hit","c_000000805832"
"","685","0.4627","4448","46.8541","Eukaryota","Chytridiomycota","c_000001175632"
"","686","0.4589","15303","18.5924","no-hit","no-hit","c_000002306781"
"","687","0.5114","23492","14.2999","Eukaryota","Mucoromycota","c_000003210486"
"","688","0.4601","16765","9.5377","Eukaryota","Ascomycota","c_000000930540"
"","689","0.4713","8876","17.8277","Eukaryota","Chytridiomycota","c_000004765633"
"","690","0.4914","12771","14.9802","Eukaryota","Chytridiomycota","c_000000155024"
"","691","0.4819","19955","11.5927","Eukaryota","Chytridiomycota","c_000005493613"
"","692","0.4787","27559","15.6529","Eukaryota","Chytridiomycota","c_000001028196"
"","693","0.507","9585","18.4466","Eukaryota","Mucoromycota","c_000000481267"
"","694","0.4821","18900","16.7199","Eukaryota","Chytridiomycota","c_000000576636"
"","695","0.4879","14451","15.3338","Eukaryota","Chytridiomycota","c_000000405810"
"","696","0.4747","12760","24.8904","Eukaryota","Oomycota","c_000000682595"
"","697","0.457","19169","18.6108","Eukaryota","Chytridiomycota","c_000001248841"
"","698","0.4937","7749","15.6154","Eukaryota","Chytridiomycota","c_000000840274"
"","699","0.4551","5880","16.1801","Eukaryota","Chytridiomycota","c_000000875113"
"","700","0.4814","8552","16.8936","Eukaryota","Chytridiomycota","c_000001321490"
"","701","0.5109","9116","16.3398","Eukaryota","Zoopagomycota","c_000004051985"
"","702","0.4913","15161","15.4959","Eukaryota","Chytridiomycota","c_000003520792"
"","703","0.4868","3488","17.844","Eukaryota","Basidiomycota","c_000005165713"
